cytoband	5q35.1	7q31.2	2q32.1	3q26.32	17q24.3	Xq11.2	10p14	1q32.1	8q24.22	
					KIF19			POU2F1	ZNF251	
					C17orf64			PPOX	KIFC2	
					WFIKKN2			PPP2R5A	TMEM67	
					TBC1D16			PRCC	MTDH	
					AFMID			PRELP	CHMP4C	
					MGAT5B			PRKAB2	PKHD1L1	
					ENTHD2			PROX1	NAPRT1	
					B3GNTL1			PSMB4	TBC1D31	
					RBFOX3			PSMD4	TP53INP1	
					CD300LF			PTGS2	MFSD3	
					C17orf77			QSOX1	MAL2	
					EFCAB3			PTPN7	CSMD3	
					NOTUM			PTPN14	RHPN1	
					TMC8			PTPRC	FBXO32	
					ANKFN1			PEX19	SLC26A7	
					MARCH10			RAB13	CTHRC1	
					CEP112			RBBP5	OSR2	
					STRA13			REN	C8orf34	
					LRRC45			RFX5	TOP1MT	
					SLC39A11			RGS1	ZNF572	
					AMZ2P1			RGS2	FAM92A1	
					TRIM65			RGS4	NDUFAF6	
					UNC13D			RGS13	ABRA	
					STXBP4			RGS16	LYPD2	
					MYADML2			RIT1	TMEM71	
					NPB			RNASEL	DCAF4L2	
					FADS6			RNF2	RALYL	
					HID1			RNPEP	RDH10	
					TSEN54			RORC	C8orf56	
					UBALD2			RPS27	ANKRD46	
					TMEM235			RXRG	FAM84B	
					CCDC57			S100A1	C8orf37	
					HEXDC			S100A2	VPS13B	
					C17orf58			S100A3	SLC7A13	
					MILR1			S100A4	FAM91A1	
					C17orf47			S100A5	SBSPON	
					SLC26A11			S100A6	CNBD1	
					ENDOV			S100A7	SLC30A8	
					GDPD1			S100A8	COL22A1	
					C17orf89			S100A9	SNX31	
					TMEM105			S100A10	TMEM64	
					METRNL			S100A11	ADCK5	
					RAB37			S100A12	TSNARE1	
					METTL2A			S100A13	C8orf47	
					C17orf67			XCL1	MAPK15	
					ENPP7			SELE	ATP6V0D2	
					OXLD1			SELL	REXO1L1	
					CCDC137			SELP	NSMCE2	
					ARL16			SHC1	ZNF707	
					CD300E			SLAMF1	FAM83H	
					NACA2			SOAT1	C8orf31	
					OTOP3			UAP1	ZFP41	
					SKA2			SPRR1A	TRIQK	
					FAM195B			SPRR1B	DPY19L4	
					GPR142			SPRR2A	FBXO43	
					ZACN			SPRR2D	GPIHBP1	
					LRRC37A3			SPRR2E	KLHL38	
					YPEL2			SPRR2F	NRBP2	
					C17orf82			SPRR2G	ZNF517	
					BTBD17			SPRR3	KIAA1875	
					TEX19			SPTA1	TMEM249	
					CUEDC1			TROVE2	RSPO2	
					MIR142			SSR2	SPATC1	
					MIR21			XCL2	CA13	
					MXRA7			CNTN2	XKR9	
					CPSF4L			VPS72	C8orf87	
					SMIM5			THBS3	RBM12B	
					NME2			TCHH	MROH5	
					MIR633			TNNI1	MAFA	
					SMIM6			TNNT2	GDF6	
					TEN1			TNR	C8orf59	
					C17orf99			TPM3	SAMD12	
					MIR4316			TPR	MIR30B	
					MIR338			TRAF5	MIR30D	
					MIR3186			CCT3	LRRC24	
					MIR3614			TUFT1	ZNF704	
					MIR3678			TNFSF4	MROH6	
					MIR3615			USF1	FABP9	
					C17orf112			USH2A	FABP12	
					MIR4739			DAP3	FER1L6	
					MIR4737			NPHS2	MIR548A3	
					MIR4736			BTG2	MIR599	
					MIR4738			HIST2H2AC	MROH1	
					MIR4740			HIST2H2BE	FAM203B	
					MIR4524B			HIST2H4A	OC90	
								PIP5K1A	MIR875	
								TAGLN2	LRRC69	
								ANXA9	MIR1205	
								DYRK3	MIR1207	
								RGS5	PVT1	
								PPFIA4	MIR2053	
								ITGA10	MIR1208	
								BLZF1	MIR3686	
								VAMP4	MIR548AA1	
								PEA15	MIR3150B	
								B4GALT3	MIR3610	
								B3GALT2	MIR378D2	
								ADAM15	MIR4662B	
								PEX11B	MIR4663	
								CREG1	MIR4664	
								CD84	MIR4471	
								RAB7L1	MIR5680	
								SELENBP1	MIR5194	
								MPZL1	MIR5708	
								SH2D2A	MIR5681A	
								ANGPTL1		
								TBX19		
								PRPF3		
								ARHGEF2		
								DEDD		
								XPR1		
								MAPKAPK2		
								GPR52		
								AIM2		
								RASAL2		
								CHD1L		
								SOX13		
								PRDX6		
								IKBKE		
								PDE4DIP		
								SLC25A44		
								KIAA0040		
								NOS1AP		
								ARHGEF11		
								CEP350		
								SETDB1		
								ZC3H11A		
								SMG7		
								UBAP2L		
								SV2A		
								DENND4B		
								RABGAP1L		
								TMCC2		
								FAM20B		
								LPGAT1		
								KIF14		
								RBM8A		
								NR1I3		
								SCAMP3		
								ARPC5		
								PRG4		
								GPA33		
								STX6		
								SF3B4		
								PIAS3		
								TIMM17A		
								LRRN2		
								HAX1		
								C1orf61		
								SEMA6C		
								SLC19A2		
								POLR3C		
								IVNS1ABP		
								TXNIP		
								PMVK		
								FAM189B		
								NES		
								KDM5B		
								CFHR4		
								CFHR3		
								OCLM		
								JTB		
								MTMR11		
								SLC27A3		
								IL24		
								TDRKH		
								CD160		
								PMF1		
								DUSP12		
								VPS45		
								PLEKHA6		
								KIAA0907		
								KIFAP3		
								ATF6		
								KIF21B		
								NMNAT2		
								NFASC		
								POGZ		
								COLGALT2		
								RGL1		
								SYT11		
								PRRC2C		
								RPRD2		
								CAMSAP2		
								SMG5		
								NCSTN		
								CRB1		
								GPR161		
								ZNF281		
								SNAPIN		
								PHLDA3		
								RUSC1		
								CA14		
								DSTYK		
								CCDC19		
								LMOD1		
								NBPF14		
								MPC2		
								INTS7		
								OLFML2B		
								C1orf43		
								NSL1		
								DNM3		
								TOR1AIP1		
								CHTOP		
								LCE2B		
								OPTC		
								OR10J1		
								RPS6KC1		
								USP21		
								DIEXF		
								CACYBP		
								SLC39A1		
								KLHL20		
								LAMTOR2		
								FLVCR1		
								UBE2T		
								TMOD4		
								NME7		
								NENF		
								IL19		
								CERS2		
								CRNN		
								G0S2		
								DCAF8		
								F11R		
								GLRX2		
								BOLA1		
								ZBTB7B		
								RRNAD1		
								ADIPOR1		
								APH1A		
								KCTD3		
								PLEKHO1		
								IER5		
								UCHL5		
								SUCO		
								GPR89B		
								HSD17B7		
								UFC1		
								DTL		
								METTL13		
								OAZ3		
								CYB5R1		
								CD244		
								DPM3		
								MRPS21		
								ADAMTSL4		
								CRCT1		
								SWT1		
								GON4L		
								GPATCH4		
								LAX1		
								DUSP23		
								C1orf27		
								C1orf56		
								RALGPS2		
								MSTO1		
								DARS2		
								GOLPH3L		
								KLHDC8A		
								ETNK2		
								KIRREL		
								TMEM206		
								YY1AP1		
								YOD1		
								BATF3		
								UBE2Q1		
								ITLN1		
								IPO9		
								HHAT		
								RCOR3		
								C1orf106		
								FAM63A		
								ADCY10		
								DCAF6		
								ASH1L		
								LENEP		
								SLC50A1		
								SLAMF8		
								CDC42SE1		
								UBQLN4		
								SMYD2		
								LHX9		
								RAB25		
								PGLYRP4		
								RHBG		
								SCYL3		
								CAMK1G		
								ATP8B2		
								VANGL2		
								PBXIP1		
								S100A14		
								GATAD2B		
								CGN		
								IGSF9		
								ZNF687		
								HCN3		
								FAM5B		
								CCDC181		
								SLAMF7		
								CADM3		
								PRUNE		
								KLHL12		
								LGR6		
								HAPLN2		
								PAPPA2		
								BCAN		
								TNN		
								MRPS14		
								SEMA4A		
								RFWD2		
								RGS18		
								NUCKS1		
								MRPL9		
								INTS3		
								SCNM1		
								C1orf116		
								FCRL2		
								CDC73		
								MRPL24		
								TNFAIP8L2		
								C1orf54		
								VASH2		
								PAQR6		
								TRIM46		
								MROH9		
								TARS2		
								EDEM3		
								FLAD1		
								TRAF3IP3		
								NPL		
								OR6N2		
								OR6K2		
								CFHR5		
								C1orf21		
								PVRL4		
								SNX27		
								ANP32E		
								SHCBP1L		
								TRMT1L		
								NUAK2		
								ISG20L2		
								FCRL5		
								FCRL4		
								DDX59		
								NUF2		
								RASSF5		
								HMCN1		
								FCAMR		
								TEX35		
								HORMAD1		
								TOMM40L		
								POLR3GL		
								TMEM79		
								ACBD6		
								ZBTB37		
								LCE3D		
								LINC00467		
								FCRLA		
								PPP1R15B		
								MAEL		
								RGS8		
								SLC45A3		
								NAV1		
								SEC16B		
								AQP10		
								SLAMF9		
								PYGO2		
								ANGEL2		
								IGFN1		
								NUP210L		
								CENPL		
								DUSP27		
								RCSD1		
								MEX3A		
								METTL18		
								GORAB		
								C1orf105		
								TMEM183A		
								PIGM		
								IGSF8		
								LEMD1		
								C1orf85		
								PGLYRP3		
								SLAMF6		
								SLC26A9		
								FCRL1		
								FCRL3		
								FMO9P		
								TSEN15		
								FAM129A		
								TADA1		
								SH2D1B		
								GABPB2		
								TCHHL1		
								RPTN		
								TDRD10		
								SHE		
								KLHDC9		
								AXDND1		
								ATP6V1G3		
								OR10J5		
								DCST2		
								ZNF648		
								TEDDM1		
								ARL8A		
								SYT2		
								GOLT1A		
								UHMK1		
								FCRLB		
								LIX1L		
								TSACC		
								IQGAP3		
								APOA1BP		
								OR10T2		
								OR6P1		
								OR10X1		
								OR10Z1		
								OR6K6		
								OR6N1		
								TATDN3		
								S100A16		
								NEK7		
								ITLN2		
								C1orf74		
								CREB3L4		
								C1orf51		
								HFE2		
								ANKRD35		
								FAM163A		
								MFSD4		
								PM20D1		
								NBPF12		
								LELP1		
								RC3H1		
								DCST1		
								METTL11B		
								FAM78B		
								SHISA4		
								BNIPL		
								LRRC71		
								PYHIN1		
								C1orf227		
								FAM71A		
								DENND1B		
								TDRD5		
								TOR1AIP2		
								SPRR4		
								PPIAL4A		
								TTC24		
								LCE4A		
								NBPF11		
								KRTCAP2		
								CRTC2		
								TMEM9		
								SLC41A1		
								LCE5A		
								SYT14		
								ARHGAP30		
								C1orf192		
								ASPM		
								TIPRL		
								RIIAD1		
								THEM5		
								SLC9C2		
								NBPF16		
								LINC00303		
								ANKRD34A		
								C1orf204		
								HIST2H2AB		
								S100A7A		
								RXFP4		
								FAM5C		
								C1orf110		
								RD3		
								OR10R2		
								FCRL6		
								KCNT2		
								LCE1A		
								LCE1B		
								LCE1C		
								LCE1D		
								LCE1E		
								LCE1F		
								LCE2A		
								LCE2C		
								LCE2D		
								LCE3A		
								LCE3B		
								LCE3C		
								LCE3E		
								RGSL1		
								ZBTB41		
								PEAR1		
								ILDR2		
								NOTCH2NL		
								LYSMD1		
								HRNR		
								FLG2		
								FMO6P		
								LINC00272		
								C1orf53		
								TMEM81		
								VHLL		
								OR10K2		
								OR10K1		
								OR6Y1		
								OR6K3		
								VSIG8		
								C1orf226		
								C1ORF220		
								NBPF9		
								APOBEC4		
								MIR181B1		
								MIR199A2		
								MIR181A1		
								MIR214		
								C1orf132		
								RGS21		
								HIST2H2BF		
								ETV3L		
								LRRC52		
								OR10J3		
								MIR135B		
								KPRP		
								LCE6A		
								HIST2H4B		
								PRR9		
								PPIAL4G		
								PPIAL4D		
								PPIAL4B		
								GPR89A		
								PPIAL4C		
								HIST2H3D		
								FAM72B		
								PCP4L1		
								MIR557		
								MIR92B		
								HIST2H2AA4		
								FAM72D		
								GPR89C		
								MIR190B		
								C1orf68		
								TSTD1		
								C2CD4D		
								NBPF20		
								MIR1295A		
								MIR4257		
								MIR4424		
