cytoband	8q24.21	11q13.2	3q26.2	8p11.23	Xp22.2	14q21.1	Xq25	1q22	3q21.3	16q11.2	17q23.2	4q13.3	7q22.1	15q11.2	12q23.1	7p14.3	Xq21.1	13q12.11	Xq21.31	9q33.3	20q13.2	4p16.3	5q35.3	8q22.1	Xq12	19q13.43	17p11.2	18q21.31	
													ACN9		LIN7A					DEC1	PMEPA1		HMMR	CRISPLD1		MIR517C			
													SMURF1		SOCS2					COQ4	CASS4		HNRNPAB	NCALD		MIR520H			
													RINT1		HCAR3					CERCAM	EPPIN		HNRNPH1	TRIM55		MIR522			
													MOSPD3		HIP1R					C9orf114	JPH2		HRH2	NUDCD1		MIR519A1			
													GIGYF1		RASSF9					RAB14	SALL4		HSPA9	LRRCC1		MIR527			
													CYP3A43		CABP1					POLE3	ZNFX1		NDST1	TSPYL5		MIR516A1			
													CASD1		WSCD2					MRPL50	RAB22A		HTR4	DNAJC5B		MIR516A2			
													ZNF655		SART3					RC3H2	SLC12A5		IK	PSKH2		MIR519A2			
													PVRIG		KNTC1					EPB41L4B	ZNF512B		IL3	TMEM67		SBK2			
													TMEM243		MLEC					TBC1D13	PREX1		IL4	MTDH		SHISA7			
													STEAP4		GIT2					BSPRY	COL20A1		IL5	CHMP4C		SGK110			
													GAL3ST4		NUAK1					TEX10	NCOA5		IL9	PKHD1L1		MIR1323			
													PRKRIP1		RBM19					FAM206A	CDH26		IL12B	TP53INP1		ZNF865			
													C7orf63		RNF10					TMEM38B	SLC17A9		IL13	CSMD3		MIR4752			
													CBLL1		NR1H4					NIPSNAP3B	ELMO2		IRF1	SLC26A7					
													ORAI2		SH2B3					STRBP	ZNF335		ITK	CTHRC1					
													OR2AE1		ARPC3					CDK5RAP2	PCIF1		LECT2	OSR2					
													TSC22D4		PLXNC1					RNF20	FAM217B		LMNB1	C8orf34					
													TRIM56		MPHOSPH9					LRRC8A	CDH22		LOX	FAM92A1					
													ARMC10		CAMKK2					SH3GLB2	SLC13A3		LTC4S	NDUFAF6					
													RBM48		TRAFD1					DOLPP1	GDAP1L1		SMAD5	ABRA					
													ZNF394		ERP29					ZBTB26	C20orf195		MFAP3	ADHFE1					
													GTPBP10		CKAP4					DENND1A	PPDPF		MGAT1	DCAF4L2					
													TRIM4		GCN1L1					SLC46A2	TTPAL		MSX2	RALYL					
													MYL10		METAP2					ZNF462	BIRC7		NDUFA2	RDH10					
													COL26A1		SDS					SUSD1	NPEPL1		NEUROG1	C8orf56					
													MUC17		RAB35					FAM129B	DNAJC5		NPM1	ANKRD46					
													RUNDC3B		KERA					C9orf16	PABPC1L		PCDH1	C8orf37					
													C7orf66		PRDM4					MAPKAP1	TUBB1		PCDHGC3	VPS13B					
													THAP5		CIT					SVEP1	ZBP1		PDE6A	SLC7A13					
													CCDC71L		PWP1					PTGES2	SLC2A10		PDGFRB	MCMDC2					
													BHLHA15		NUDT4					AKNA	CABLES2		PFDN1	SBSPON					
													SAMD9L		RPH3A					ARPC5L	PARD6B		PITX1	CNBD1					
													C7orf62		FBXO21					HDHD3	ZGPAT		POU4F3	SNX31					
													ZNF804B		SETD1B					FSD1L	TOX2		PPIC	TMEM64					
													ZSCAN25		UHRF1BP1L					GARNL3	HELZ2		PPP2R2B	C8orf47					
													FAM200A		CUX2					HSDL2	SYS1		MAPK9	ATP6V0D2					
													PPP1R35		KIAA1033					ZDHHC12	WFDC8		PROP1	C8orf46					
													GPC2		MED13L					FAM73B	ZSWIM1		RARS	REXO1L1					
													KIAA1324L		ZDHHC17					MVB12B	TP53RK		RPS14	TRIQK					
													LRWD1		SIRT4					WDR34	DNTTIP1		SGCD	DPY19L4					
													FBXL13		ABCB9					LRSAM1	FAM210B		SLC6A7	FBXO43					
													NAPEPLD		ISCU					MRRF	PHACTR3		SLC12A2	PPP1R42					
													ATXN7L1		CORO1C					KIF12	BHLHE23		SLC34A1	RSPO2					
													CDHR3		MGAT4C					PALM2	NKAIN4		SLC22A4	CA13					
													TMEM130		FBXW8					SLC25A25	WFDC12		SLC22A5	XKR9					
													NYAP1		HSPB8					WDR31	SPATA25		SLIT3	C8orf87					
													SEMA3D		UTP20					ZNF618	OCSTAMP		SNCB	RBM12B					
													CNPY4		MRPL42					GRIN3A	TSHZ2		SNX2	GDF6					
													POLR2J2		IFT81					RNF183	C20orf85		SPARC	C8orf59					
													HEPACAM2		CCDC59					PTRH1	ZNF831		SPINK1	ZNF704					
													MBLAC1		FAM216A					PIP5KL1	C20orf166		SPOCK1	SNHG6					
													FAM133B		SYCP3					OR13C5	GATA5		STK10	FABP9					
													STEAP2		CHST11					OR13C8	ZBTB46		TAF7	FABP12					
													ZNF789		CCDC53					OR13C3	WFDC3		TCF7	MIR548A3					
													MOGAT3		CCDC41					OR13C4	CBLN4		ZNF354A	MIR599					
													GJC3		GPN3					OR13F1	CTCFL		TCOF1	MIR875					
													DPY19L2P2		GLTP					OR1L8	SAMD10		TGFBI	TCF24					
													GATS		ARL6IP4					OR1N2	ABHD16B		TTC1	LRRC69					
													NAT16		TAOK3					OR1N1	RIMS4		UBE2B	MIR2053					
													SLC26A5		POP5					DAB2IP	NEURL2		UBE2D2	MIR3150B					
													LAMTOR4		ANAPC5					OR1Q1	ZSWIM3		VDAC1	MIR378D2					
													LRRD1		ANAPC7					TTLL11	C20orf62		WNT8A	MIR4471					
													C7orf76		TRIAP1					TTC16	WFDC6		NME5	MIR5680					
													KPNA7		NT5DC3					ZNF483	FAM65C		PDLIM4	MIR5708					
													C7orf61		VPS29					C9orf84	RBBP8NL		STC2	MIR5681A					
													UFSP1		TPCN1					KIAA1958	GTSF1L		EIF4EBP3						
													SPDYE3		SSH1					OLFML2A	WFDC5		PCDHGB4						
													SPDYE2		RHOF					C9orf91	LSM14B		CDC23						
													POLR2J3		VSIG10					NAIF1	WFDC13		ADAM19						
													EFCAB10		TESC					CDC26	APCDD1L		FGF18						
													UPK3BL		PARPBP					PHYHD1	C20orf201		HDAC3						
													RASA4B		SLC6A15					MORN5	WFDC11		SQSTM1						
													SPDYE2B		RIC8B					OR1L4	WFDC9		P4HA2						
													MIR548O		APPL2					TXNDC8	WFDC10B		PTTG1						
													MIR4652		DRAM1					C9orf43	LINC00176		PDLIM7						
													MIR5692C2		SVOP					CRB2	C20orf197		CNOT8						
													MIR5692A1		STAB2					SCAI	TMEM189		HAND1						
															VEZT					C9orf117	FAM209B		MED7						
															GOLGA2B					OR13C9	MIR296		MYOT						
															SCYL2					OR13D1	MIR645		ADAMTS2						
															POLR3B					GPR144	MIR646		NRG2						
															FGD6					OR1J1	MIR298		CXCL14						
															WSB2					OR1B1	MIR1257		H2AFY						
															NDUFA12					MURC	MIR4325		RNF14						
															DIABLO					SWI5	MTRNR2L3		SNCAIP						
															ANKS1B					IER5L	MIR3617		CLINT1						
															CHPT1					OR13C2	MIR4756		PCDHGA8						
															TMCC3					OR1L6	MIR4532		PCDHA9						
															PITPNM2					OR5C1	MIR4533		MATR3						
															NTN4					OR1K1	MIR548AG2		MAML1						
															TRPV4					FAM102A			KIAA0141						
															SUDS3					C9orf152			JAKMIP2						
															ACTR6					SNX30			DDX46						
															C12orf43					WDR38			GFPT2						
															VPS33A					ZBTB34			SLC23A1						
															RSRC2					MIR147A			GNPDA1						
															NUP37					MIR181A2			SRA1						
															DDX54					MIR181B2			RAD50						
															GNPTAB					MIR199B			KIF20A						
															B3GNT4					DNAJC25			G3BP1						
															TCTN1					MIR600HG			APBB3						
															ACSS3					MIR3154			TNIP1						
															OGFOD2					MIR3911			GNB2L1						
															VPS37B					MIR3927			SLU7						
															BBS10					MIR3960			RGS14						
															C12orf49					MIR4478			SEC24A						
															NAA25								CPLX2						
															SLC24A6								FAXDC2						
															CEP290								FAM114A2						
															RNF34								BRD8						
															MTERFD3								TCERG1						
															ACAD10								BTNL3						
															GLT8D2								HNRNPA0						
															KCTD10								LMAN2						
															USP44								SPINK5						
															SLC41A2								SOX30						
															LRRIQ1								KIF3A						
															METTL25								MGAT4B						
															TCHP								B4GALT7						
															COQ5								SYNPO						
															HVCN1								RNF44						
															SRRM4								ABLIM3						
															CCDC62								HMGXB3						
															KDM2B								TBC1D9B						
															UNC119B								ARHGAP26						
															USP30								FSTL4						
															RNFT2								ATP10B						
															FAM222A								N4BP3						
															C12orf52								SEPT8						
															ANKRD13A								FAF2						
															NAV3								WWC1						
															TMEM116								FBXW11						
															UBE3B								ACSL6						
															C12orf23								PHF15						
															C12orf29								LARP1						
															C12orf65								HARS2						
															CCDC64								ZNF346						
															SDSL								GEMIN5						
															OSBPL8								PCDHGA12						
															IQCD								LRRTM2						
															DEPDC4								CCDC69						
															CCDC38								PCDHB5						
															NEDD1								KLHL3						
															IKBIP								TSPAN17						
															ASCL4								OR4F3						
															BTBD11								OR2V1						
															SPIC								HAVCR1						
															ANO4								CYFIP2						
															ALKBH2								PKD2L2						
															FOXN4								AFF4						
															SPPL3								PRELID1						
															AMDHD1								IL17B						
															TMEM120B								MAT2B						
															WDR66								SLC27A6						
															TSPAN19								SNX24						
															E2F7								MRPL22						
															RAD9B								PCDHB1						
															FAM109A								TLX3						
															TMTC2								KCNIP1						
															TMTC3								ZNF354C						
															C12orf50								ISOC1						
															ALDH1L2								RPL26L1						
															CCDC63								SAR1B						
															CCDC60								C5orf45						
															PLBD2								DCTN4						
															FAM71C								MZB1						
															CCER1								PAIP2						
															SLC17A8								CDKL3						
															LRRC43								PCDH12						
															TCP11L2								FAM13B						
															C12orf79								FAM53C						
															POC1B								REEP2						
															OTOGL								DDX41						
															MORN3								NOP16						
															GAS2L3								LARS						
															MYO1H								CXXC5						
															HECTD4								UIMC1						
															KSR2								RAPGEF6						
															MMAB								KDM3B						
															HCAR2								PHAX						
															TMEM119								RAB24						
															C12orf74								RBM27						
															C12orf42								NEURL1B						
															IL31								FAM193B						
															C12orf75								TMED9						
															CCDC42B								ZCCHC10						
															TMEM233								CDHR2						
															C12orf76								SPDL1						
															MIR135A2								TMCO6						
															PLEKHG7								GALNT10						
															MIR331								NHP2						
															EID3								RBM22						
															CLLU1OS								RNF130						
															CLLU1								PCDHGC5						
															MIR492								PCDHGC4						
															C12orf73								PCDHGB7						
															MIR1251								PCDHGB6						
															MIR4303								PCDHGB3						
															MIR3685								PCDHGB2						
															MIR4495								PCDHGB1						
															MIR4700								PCDHGA11						
															MIR4497								PCDHGA10						
															MIR5700								PCDHGA9						
																							PCDHGA7						
																							PCDHGA6						
																							PCDHGA5						
																							PCDHGA4						
																							PCDHGA3						
																							PCDHGA2						
																							PCDHGA1						
																							PCDHB15						
																							PCDHB14						
																							PCDHB13						
																							PCDHB12						
																							PCDHB11						
																							PCDHB10						
																							PCDHB8						
																							PCDHB7						
																							PCDHB6						
																							PCDHB4						
																							PCDHB3						
																							PCDHB2						
																							PCDHAC2						
																							PCDHAC1						
																							PCDHA13						
																							PCDHA12						
																							PCDHA11						
																							PCDHA10						
																							PCDHA8						
																							PCDHA7						
																							PCDHA6						
																							PCDHA5						
																							PCDHA4						
																							PCDHA3						
																							PCDHA2						
																							PCDHA1						
																							NMUR2						
																							C5orf15						
																							CDC42SE2						
																							TRPC7						
																							KIAA1191						
																							ERGIC1						
																							CLK4						
																							TENM2						
																							CNOT6						
																							ZNF608						
																							PCDHB16						
																							HMHB1						
																							C5orf54						
																							NSD1						
																							SIL1						
																							ARAP3						
																							RMND5B						
																							RANBP17						
																							GRAMD3						
																							PCYOX1L						
																							CCNJL						
																							SAP30L						
																							TXNDC15						
																							BTNL8						
																							DOK3						
																							ZFP2						
																							RUFY1						
																							CPEB4						
																							PRR7						
																							NDFIP1						
																							FBXO38						
																							YIPF5						
																							TRIM7						
																							TIGD6						
																							SPRY4						
																							MXD3						
																							SLC4A9						
																							SLC25A2						
																							PSD2						
																							THOC3						
																							MEGF10						
																							SPINK7						
																							HAVCR2						
																							PHYKPL						
																							SMIM3						
																							FCHSD1						
																							UNC5A						
																							LYRM7						
																							TRIM41						
																							BOD1						
																							CDKN2AIPNL						
																							COL23A1						
																							TIMD4						
																							ZNF300						
																							MYOZ3						
																							UBTD2						
																							SCGB3A1						
																							PRDM6						
																							FTMT						
																							SFXN1						
																							FNIP1						
																							SLC35A4						
																							GPRIN1						
																							PWWP2A						
																							C1QTNF2						
																							MARCH3						
																							SCGB3A2						
																							C5orf47						
																							PPARGC1B						
																							PRRC1						
																							ZNF474						
																							OR2Y1						
																							AFAP1L1						
																							GRPEL2						
																							UBLCP1						
																							SOWAHA						
																							SHROOM1						
																							C5orf24						
																							C5orf20						
																							SLC36A2						
																							CREBRF						
																							CEP120						
																							SLC25A48						
																							SRFBP1						
																							ZMAT2						
																							BTNL9						
																							FAM71B						
																							PRELID2						
																							SH3RF2						
																							PLAC8L1						
																							RNF145						
																							ADAMTS19						
																							HIGD2A						
																							SPATA24						
																							DNAJC18						
																							FAM153B						
																							STK32A						
																							SLC36A1						
																							RASGEF1C						
																							EFCAB9						
																							SH3PXD2B						
																							FAM153A						
																							RELL2						
																							SLC36A3						
																							KIF4B						
																							OR2V2						
																							ZNF454						
																							C5orf60						
																							CHSY3						
																							ARSI						
																							PFN3						
																							IRGM						
																							CATSPER3						
																							NIPAL4						
																							DND1						
																							SIMC1						
																							C5orf48						
																							PROB1						
																							C5orf46						
																							ARHGEF37						
																							SPINK6						
																							ANKHD1						
																							MIR143						
																							MIR145						
																							MIR146A						
																							SPINK14						
																							FNDC9						
																							C5orf56						
																							IGIP						
																							CTXN3						
																							GRXCR2						
																							SPINK9						
																							ZFP62						
																							CCNI2						
																							CBY3						
																							FAM153C						
																							FAM196B						
																							C5orf52						
																							MIR1303						
																							MIR3141						
																							MIR3912						
																							MIR3936						
																							MIR3661						
																							MIR4634						
																							MIR378H						
																							MIR4460						
																							MIR4638						
																							MIR5197						
																							MIR5692C1						
