cytoband	8p23.2	13q14.2	1p36.13	19p13.3	10q23.31	3p21.31	11q23.3	11p15.5	17p12	9p21.3	6q27	15q13.1	4q35.2	2q37.3	7q36.1	17q21.31	21q11.2	11q25	16q24.3	6q15	6p25.3	5q11.2	18q23	10q26.3	1p21.2	14q24.1	20p13	12p13.1	9p23	4p16.3	12q24.31	19q13.32	5q21.3	12q23.1	11q13.1	7p22.3	9q21.11	8p11.21	22q13.32	9q34.2	14q32.12	22q11.1	
			ACTL8				C11orf87									DBF4B						IL31RA			COL11A1	GALNT16					CIT									ADAMTSL2	GPR65		
			IGSF21				C11orf92									COASY						SREK1			CSF1	PLEKHH1					FZD10									PPP1R26	LINC00911		
			FHAD1				C11orf88									AARSD1						SLC38A9			DBT	ZNF410					P2RX2									SEC16A	RNU3P3		
			LRRC38				MIR34B									VPS25						MARVELD2			DPYD	RBM25					SETD1B									LAMC3	RNU6ATAC28P		
			AADACL3				MIR34C									TMEM101						MIER3			S1PR1	SMOC1					ANKLE2									TUBB4B	snoU13|ENSG00000238978.1		
			IFFO2				CLDN25									G6PC3						CDC20B			CELSR2	MPP5					SIRT4									UBAC1	SERPINA3		
			KLHDC7A				MIR4301									ASB16						ZNF366			EXTL2	ZC2HC1C					ABCB9									OLFM1	AKT1		
			VWA5B1				MIR4491									PLCD3						CCDC125			F3	CCDC176					RIMBP2									AGPAT2	BDKRB1		
			ARHGEF19													TMEM106A						C5orf64			GBP1	DNAL1					ATP6V0A2									POMT1	BDKRB2		
			FAM43B													SPATA32						RNF180			GBP2	RPS6KL1					HSPB8									SDCCAG3	CALM1		
			AKR7L													HEXIM2						SREK1IP1			GBP3	PAPLN					GALNT9									NOXA1	SERPINA6		
			TMCO4													LSM12						MCIDAS			GFI1	CHURC1					ARL6IP4									USP20	FOXN3		
			SLC25A34													CCDC43						ACTBL2			GNAT2	ELMSAN1					POP5									WDR5	CHGA		
			AADACL4													CD300LG						MAST4			GNG5	NEK9					ANAPC5									C9orf9	CKB		
			PRAMEF5													KIF18B						RGS7BP			GSTM1	IFT43					TRIAP1									ADAMTS13	CRIP1		
			HNRNPCL1													RUNDC1						SMIM15			GSTM2	JDP2					RHOF									CACFD1	CRIP2		
			PRAMEF9													NAGS						GTF2H2C			GSTM3	RDH12					SBNO1									SLC2A6	DIO3		
			PRAMEF10													FAM134C						SERF1B			GSTM4	PTGR2					CHFR									MAN1B1	DYNC1H1		
			FAM131C													SPPL2C						LRRC70			GSTM5	FAM161B					DIABLO									FNBP1	EIF5		
			SPATA21													ARHGAP27						FAM159B			GTF2B	FAM71D					PITPNM2									SETX	EML1		
			TMEM82													STH						OCLN			IGSF3	TMEM229B					EP400									PMPCA	GALC		
			PRAMEF12													KANSL1						MIR548AE2			CYR61	PROX2					DHX37									EXOSC2	BRF1		
			PRAMEF21													FAM171A2									KCNA2	VSX2					FBRSL1									NCS1	HSP90AA1		
			PRAMEF8													C17orf104									KCNA3	RAB15					DDX55									NELFB	IFI27		
			PRAMEF17													PTRF									KCNA10	HEATR4					SUDS3									NSMF	ITPK1		
			PRAMEF4													LINC00671									KCNC4	PLEKHD1					C12orf43									GPSM1	JAG2		
			PRAMEF13													LRRC37A2									KCND3	LINC00238					VPS33A									GBGT1	KLC1		
			SH2D5													MIR2117									MOV10	ACOT1					RSRC2									NDOR1	MARK3		
			PRAMEF3													ARL17B									NGF	ACOT6					AACS									TOR1B	ATXN3		
			PRAMEF11													PTGES3L									NHLH2	SYNDIG1L					NOC4L									NTMT1	SERPINA5		
			PRAMEF6																						NRAS	MIR625					B3GNT4									PHPT1	SERPINA1		
			MINOS1																						OVGP1	MIR4505					OGFOD2									ANAPC2	SERPINA4		
			PRAMEF7																						PRKACB	MIR4708					VPS37B									DPP7	PPP2R5C		
			PRAMEF19																						PKN2	MIR5694					TCTN2									OBP2B	LGMN		
			PRAMEF20																						PSMA5						RNF34									OBP2A	PSMC1		
			PRAMEF22																						ABCD3						CCDC92									MRPS2	MOK		
			PRAMEF15																						RAP1A						PUS1									EGFL7	TNFAIP2		
			PRAMEF16																						RPL5						COQ5									PRRX2	TRAF3		
			MIR3675																						SORT1						SRRM4									C9orf78	VRK1		
																									SARS						CCDC62									FBXW5	WARS		
																									SLC16A1						KDM2B									TOR4A	XRCC3		
																									STXBP3						UNC119B									EXD3	GPR68		
																									SYCP1						C12orf65									RABL6	TCL1A		
																									TGFBR3						CCDC64									INPP5E	DLK1		
																									TSHB						TMEM132D									NPDC1	MTA1		
																									VCAM1						SLC15A4									BARHL1	RPS6KA5		
																									CSDE1						SPPL3									REXO4	TRIP11		
																									EVI5						FAM101A									DOLPP1	BAG5		
																									CDC7						ZNF664									KCNT1	C14orf2		
																									BCAR3						TMEM120B									GPR107	CDC42BPB		
																									LMO4						WDR66									PRDM12	TCL1B		
																									CDC14A						GLT1D1									DDX31	TECPR2		
																									RTCA						CCDC60									EHMT1	GOLGA5		
																									BCL10						PGAM5									AIF1L	FBLN5		
																									SLC16A4						RILPL2									UCK1	SIVA1		
																									CLCA3P						DNAH10									NTNG2	CYP46A1		
																									CLCA2						LRRC43									PPAPDC3	PAPOLA		
																									HS2ST1						GPR133									FAM73B	PTPN21		
																									LPPR4						MORN3									FIBCD1	RCOR1		
																									TSPAN2						DDX51									KIAA1984	PACS2		
																									BCAS2						HCAR2									TMEM141	PPP1R13B		
																									CEPT1						EP400NL									C9orf37	DICER1		
																									VAV3						RILPL1									SAPCD2	FLRT2		
																									LAMTOR5						IL31									C9orf69	KIF26A		
																									AP4B1						TMEM233									UAP1L1	TMEM251		
																									PHTF1						SETD8									ARRDC1	TCL6		
																									AHCYL1						ZNF605									DPH7	GPR132		
																									GLMN						MIR3908									TMEM203	SERPINA10		
																									DDX20						MIR4419B									ZMYND19	EVL		
																									CLCA4						MIR4700									NACC2	GSKIP		
																									MTF2						MIR5188									C9orf116	CINP		
																									NTNG1															LCN8	ASB2		
																									WDR47															SLC34A3	CPSF2		
																									CLCC1															CAMSAP1	CDCA4		
																									KIAA1107															C9orf62	NRDE2		
																									SLC35A3															C9orf163	ATG2B		
																									LRRC8B															MAMDC4	UBR7		
																									LPAR3															LCN6	SMEK1		
																									DDAH1															AK8	BTBD7		
																									RWDD3															C9orf96	TDP1		
																									PTPN22															QSOX2	ZNF839		
																									CHIA															LCN12	SPATA7		
																									GPSM2															C9orf142	KCNK13		
																									SLC25A24															TPRN	DDX24		
																									TMED5															FAM78A	UNC79		
																									SH3GLB1															QRFP	BEGAIN		
																									SNX7															GLT6D1	PPP4R4		
																									TRIM33															C9orf50	MOAP1		
																									GPR88															PNPLA7	INF2		
																									TRMT13															C9orf169	BCL11B		
																									RSBN1															ENTPD8	OTUB2		
																									ZNHIT6															IER5L	ZFYVE21		
																									PALMD															C9orf171	WDR25		
																									FNBP1L															LCN15	LINC00341		
																									ST7L															LRRC26	CLMN		
																									PRPF38B															TMEM8C	CATSPERB		
																									LRRC8D															LCN9	ZC3H14		
																									PRMT6															LCNL1	RIN3		
																									MCOLN3															C9orf139	C14orf159		
																									SLC22A15															FAM166A	TMEM121		
																									RNPC3															SOHLH1	AMN		
																									LRIF1															C9orf173	IFI27L2		
																									CTTNBP2NL															NRARP	SETD3		
																									FAM212B															MIR602	HHIPL1		
																									CCBL2															RNF208	C14orf142		
																									OLFML3															CARD9	FAM181A		
																									AMIGO1															MIR3689A	BTBD6		
																									ODF2L															MIR3689B	EFCAB11		
																									PTBP2															MIR3689D1	EXOC3L4		
																									DNASE2B															MIR3689F	WDR20		
																									HIAT1															MIR4674	AHNAK2		
																									RBM15															MIR3689C	TRMT61A		
																									DCLRE1B															MIR3689D2	TDRD9		
																									WDR77															MIR3689E	ANKRD9		
																									EPS8L3															MIR548AW	AK7		
																									SIKE1																IFI27L1		
																									VANGL1																PLD4		
																									GPR61																ADSSL1		
																									SYDE2																TTC8		
																									ZNF644																TC2N		
																									LRRC8C																SLC25A29		
																									PROK1																GSC		
																									PSRC1																SERPINA12		
																									STRIP1																PRIMA1		
																									HENMT1																TTC7B		
																									GBP4																SYNE3		
																									GBP5																EML5		
																									SSX2IP																NUDT14		
																									OLFM3																LINC00521		
																									WDR63																SERPINA11		
																									MAB21L3																C14orf177		
																									SLC44A3																SLC25A47		
																									ATXN7L2																LINC00523		
																									C1orf194																CEP170B		
																									LRRC39																C14orf80		
																									DRAM2																CCDC85C		
																									PIFO																SERPINA9		
																									C1orf162																COX8C		
																									SYT6																ASPG		
																									SAMD13																SERPINA13P		
																									TMEM56																C14orf64		
																									NBPF4																RTL1		
																									SLC30A7																TMEM179		
																									CHIAP2																C14orf180		
																									FNDC7																MIR127		
																									SASS6																MIR136		
																									HFM1																MIR154		
																									UBL4B																MIR203		
																									HIPK1																CCDC88C		
																									EPHX4																MIR323A		
																									AKNAD1																MIR337		
																									MCOLN2																MIR345		
																									COL24A1																MIR370		
																									MAGI3																MIR381		
																									FAM19A3																MIR431		
																									FAM102B																MIR323B		
																									SYPL2																MIR409		
																									CYB561D1																MIR412		
																									ZNF326																MIR410		
																									BTBD8																MIR493		
																									PPM1J																MIR432		
																									CCDC18																MIR494		
																									MYBPHL																MIR495		
																									GBP7																MIR496		
																									C1orf146																MIR487A		
																									FAM69A																RD3L		
																									SLC6A17																TEX22		
																									C1orf137																MIR539		
																									FRRS1																MIR544A		
																									MIR197																MIR487B		
																									C1orf180																MIR411		
																									RBMXL1																MIR654		
																									NBPF6																MIR655		
																									MIR760																MIR656		
																									MIR320B1																MIR758		
																									MIR378G																MIR770		
																									MIR137HG																MIR300		
																									MIR4423																MIR541		
																																									MIR665		
																																									MIR543		
																																									MIR889		
																																									DIO3OS		
																																									MIR1197		
																																									MIR1193		
																																									MIR4309		
																																									MIR3173		
																																									MIR151B		
																																									MIR4710		
																																									MIR2392		
