cytoband	9p21.3	9p23	13q12.11	1p13.1	22q13.32	4q34.3	8p23.2	21q11.2	15q11.2	12p13.2	16q23.1	18q21.32	9q21.11	6q26	19q13.33	10p15.3	19p13.3	5q12.1	Xp22.2	11q25	17p13.3	2q22.1	11p15.5	16q24.3	14q32.33	19p13.2	5q31.1	13q34	12q24.33	3q29	6q14.3	1p36.13	10q26.3	18q23	8p11.21	12q12	11q23.1	15q15.1	3p21.31	3q11.1	20p13	4p16.3	20q13.12	16p13.3	4q22.1	3p26.2	
				DENND2D		ZFP42			MAGEL2	GUCY2C		SEC11C	FOXD4L2		NPAS1						NXN		TSPAN32	SPATA2L	SNORD112|ENSG00000252009.1		RN7SKP230		MIR620	AP2M1	RN7SL11P	RN7SL304P					ATF4P4	MIR211	RN7SL664P		ITPA	GAK	LINC00489	STUB1	RN7SL681P	snoU13|ENSG00000239126.1	
				RNA5SP54		ENPP6			RN7SL536P	KLRC1		ALPK2	FAM27E3		NTF4						METTL16		TSSC4	SPATA33	SNORD113|ENSG00000222095.1		FER		SNORD56|ENSG00000200112.1	CLCN2	RN7SL336P	PLA2G2E					snosnR66	RN7SL82P	MIR1226		OXT	GRK4	ADA	MRPL28	RN7SKP96	EGOT	
				CYMP		RWDD4			GOLGA8S	KLRC2		STARD6	FAM27C		NUCB1						FAM57A		IFITM3	ZC3H18	SNORD113|ENSG00000201710.1		RN7SKP122		RN7SL865P	CPN2	SNORA73|ENSG00000222145.1	snoU13|ENSG00000239027.1					C11orf34	U8|ENSG00000252602.1	CSPG5		PCNA	HTT	BPI	TBL3	MIR4451	SNORA43|ENSG00000253049.1	
				SNORA25|ENSG00000200536.1		CCDC111			RN7SL106P	KLRC3		CCBE1	FAM27B		PPP5C						RILP		DEAF1	ZNF778	SNORD113|ENSG00000201036.1		RN7SL782P		SNORA27|ENSG00000252459.1	DGKG	RN7SL183P	RN7SL277P					SDHD	RN7SL628P	RN7SL870P		PCSK2	HGFAC	CD40	MAPK8IP3	RN7SKP48	RN7SKP144	
				ALX3		TRIML2			HERC2P2	KLRD1		C18orf54	MIR1299		PRRG2						SMYD4		IFITM2	ACSF3	SNORD113|ENSG00000201500.1		SNORA31|ENSG00000252337.1		RN7SKP216	DLG1	snoU13|ENSG00000238628.1	RN7SL85P					RNA5SP351	GOLGA8H	snoU13|ENSG00000238350.1		PDYN	HMX1	CEBPB	TPSD1	RN7SL552P	RN7SL120P	
				RNU6V		CCDC110			RN7SL495P	LRP6		SKA1	MIR4477A		PTGIR						OVCA2		PKP3	LINC00304	SNORD113|ENSG00000200150.1		RNA5SP189		LHX5	DVL3	C6ORF165	AKR7A2					HSPB2	U8|ENSG00000207430.1	snoU13|ENSG00000239128.1		PLCB4	IDUA	CSE1L	TPSG1	MRPS18C	ATP2B2	
				GNAI3		TRIML1			WHAMMP3	M6PR		CCDC11			RPL18						SLC43A2		SIRT3	SNAI3	SNORD112|ENSG00000251918.1		RN7SL255P		RN7SKP71	EHHADH	RN7SKP209	AKR7A3					ALG9	ULK4P2	snoU13|ENSG00000251938.1		PRNP	LETM1	EYA2	DECR2	snoR442|ENSG00000252834.1	BTD	
				KIAA1324		ANKRD37			RN7SL545P	MGP		DYNAP			RPS11						WDR81		TRPM5	CTU2	SNORD112|ENSG00000252144.1		LINC00491		MIR3657	EIF4A2	RN7SL643P	MIR1290					ALG9	RN7SL796P	PRSS44		PTPRA	MSX1	HNF4A	SOX8	MIR575	CAV3	
				SCARNA2		HELT			GOLGA8DP	MGST1		BOD1L2			RRAS						RTN4RL1		BET1L	PABPN1L	SNORD112|ENSG00000251949.1		LINC00492		ADAM1A	EIF4G1	SNHG5	MIR4695					RN7SKP273	GOLGA8Q	PRSS45		RRBP1	MYL5	KCNG1	MSRB1	LINC00575	DAZL	
				TMEM167B		C4orf47			MIR1268A	OLR1		CPLX4			SEPW1						TUSC5		CEND1		SNORD112|ENSG00000252873.1		RN7SKP68		U7|ENSG00000272215.1	EPHB3	CYB5R4	snoU13|ENSG00000239020.1					SIK2	RN7SL196P	SNORD77|ENSG00000251967.1		SIGLEC1	PDE6B	KCNS1	GNG13	SNORD42|ENSG00000202440.1	FANCD2	
				TAF13		DUX4L4			OR4N4	PDE6H		MIR122			SLC1A5						FAM101B		CDHR5		SNORD112|ENSG00000251769.1		RNA5SP188		RNA5SP373	ETV5	RWDD2A	PADI6					RNA5SP350	GOLGA8R	LUZPP1		SNAP25	PPP2R2C	LBP	LUC7L	HNRNPD	FBLN2	
				SPATA42		FRG2			snoU13|ENSG00000238960.1	PRB1		MIR4529			SLC8A2						OR3A4P		TOLLIP		MEG8		RN7SL802P		RN7SL387P	FGF12	SNORA70|ENSG00000206886.1	MIR3972					SNORD39|ENSG00000264997.1	U8|ENSG00000238519.1	RTP3		SNRPB	RGS12	MMP9	CRAMP1L	SNORA31|ENSG00000252762.1	GRM7	
				NBPF5P		DUX4L7			DKFZP547L112	PRB3					SNRNP70						C17orf97		PIDD		MIR433		MIR548P		PPTC7	GP5	RNA5SP210	U1|ENSG00000228549.2					RNA5SP349	RN7SL469P	RN7SL145P		SNRPB2	RNF4	MYBL2	RAB40C	SNORA75|ENSG00000212620.1	HRH1	
				SLC25A24P1		DUX4L6			RN7SL400P	PRB4					SULT2B1						MIR132		KCNQ1DN		MEG3		RN7SKP62		SNORD50|ENSG00000202335.1	HRG	SNORD112|ENSG00000252932.1	MST1L					RNA5SP348	GOLGA8T	LIMD1		SOX12	SH3BP2	NFATC2	TMEM8A	OR7E94P	IL5RA	
				RN7SKP285		DUX4L5			CT60	PRH1					SULT2A1						MIR212		PNPLA2		RN7SKP92		GPR150		RN7SL769P	HES1	HTR1B	ESPNP					MMP12	U8|ENSG00000207432.1	U3|ENSG00000202268.1		TGM3	WFS1	NNAT	CHTF18	LINC00989	IRAK2	
				snoU13|ENSG00000238296.1		DUX4L3			NBEAP1	PTPRO					TULP2						MIR22HG		PHRF1		RN7SL523P		LUCAT1		RN7SL441P	IL1RAP	U6|ENSG00000272445.1	CROCCP2					WTAPP1	ULK4P3	ZDHHC3		MKKS	WHSC1	PI3	RHBDF1	NAA11	ITPR1	
				SCARNA16|ENSG00000252765.1		DUX4L2			RN7SL759P	PZP					TEAD2								SIGIRR		YY1		SNORA70|ENSG00000206958.1		RN7SKP250	LPP	snoU13|ENSG00000239132.1	U1|ENSG00000233421.3					snoU13|ENSG00000239154.1	RN7SL673P	MIR564		ATRN	NELFA	PLCG1	NARFL	RN7SL127P	OGG1	
				DPH5		CLDN24			GOLGA6L6	SLC2A3					PPFIA3								RIC8A		DEGS2		RNA5SP187		RNA5SP372	MFI2	RNA5SP209	CROCCP3					snoU13|ENSG00000252679.1	GOLGA8J	ZNF660		CDS2	SLBP	PLTP	TPSB2	MIR5096	OXTR	
				MIR553		MIR1305			snoU13|ENSG00000239083.1	MFAP5					PLA2G4C								EPS8L2		MIR342		RN7SL629P		MIR619	MUC4	RN7SKP163	C1orf134					ACAT1	snoZ278	ZNF852		PSMF1	ACOX3	CTSA	HS3ST6	snoU13|ENSG00000238816.1	PPARG	
				LPPR5		MIR3945			CHEK2P2	KLRC4					NAPA								CHID1		CCNK		RN7SKP34		SNORA40|ENSG00000264043.2	OPA1	U3|ENSG00000221332.1	ANO7P1					ACRV1	GOLGA6L7P	LINC00694		SNPH	CPZ	PTGIS	PDIA2	SNORD75|ENSG00000221711.1	RAB5A	
				ADORA3		MIR4455			RN7SL584P	YBX3					CYTH2								SLC25A22		U6|ENSG00000272439.1		MIR3607		FICD	PAK2	MB21D1	C1orf64					BIRC2	WHAMMP2	ABHD5		LZTS3	NOP14	PTPN1	UNKL	MIR548AH	RAF1	
				AGL					APBA2	CD163					DHX34								ATHL1		RN7SL714P		COX7C		RNA5SP371	PCYT1A	snoU13|ENSG00000238464.1	snoU13|ENSG00000238818.1					BIRC3	RN7SL719P	RN7SL517P		RASSF2	FAM193A	SDC4	LMF1	MIR4450	RARB	
				AMPD1					GABRA5	GDF3					SAE1								PTDSS2		RN7SL710P		NBPF22P		SNORD74|ENSG00000200897.1	POLR2H	OOEP	DDI2					APLP2	GOLGA8M	ALAS1		SLC23A2	RAB28	SEMG1	FAM173A	SNORD50|ENSG00000199857.1	RPL15	
				AMPD2					GABRB3	KLRG1					RUVBL2								SYT8		LINC00618		APC		C12orf45	PPP1R2	OGFRL1	AGMAT					APOA1	RN7SL829P	AMT		SIRPB1	KIAA0232	SEMG2	MRPS34	CDKL2	RPL32	
				AMY1A					GABRG3	KLRAP1					KDELR1								OSBPL5		RN7SKP108		ALDH7A1		MIR3922	MASP1	U3|ENSG00000221345.1	SCARNA21|ENSG00000251866.1					APOA4	RN7SL238P	APEH		NOP56	WDR1	SRSF6	TMEM204	BTC	SATB1	
				AMY1B					TRPM1	STRAP					KPTN								LRRC56		snoU13|ENSG00000238776.1		CAMLG		RNA5SP370	PSMD2	B3GAT2	C1orf195					APOC3	GOLGA8F	ARF4		RBCK1	C4orf6	SLPI	FAHD1	PPBPP2	SEC13	
				AMY1C					NDN	PRR4					PNKP								MRGPRE		DKFZP434O1614		CAST		HCFC2	RFC4	C6orf57	SCARNA11|ENSG00000253085.1					ARCN1	RNA5SP391	RHOA		DSTN	MFSD10	SNAI1	ITFG3	RN7SL218P	SETMAR	
				AMY2A					OCA2	KLRK1					CARD8								SCGB1C1		C14orf132		CCNH		MIR3652	RPL35A	COL19A1	RNA5SP41					ATM	LINC00929	CACNA1D		RNF24	MAEA	STAU1	WDR24	PPBP	SLC6A1	
				AMY2B					SNRPN	GABARAPL1					ZC3H4								NLRP6		LINC00617		CDC25C		snoU13|ENSG00000238914.1	ST6GAL1	RNA5SP208	PRAMEF14					FXYD2	SNORA48|ENSG00000212604.1	SLC25A20		UBOX5	PCGF3	STK4	HAGHL	PF4	SLC6A6	
				RHOC					TJP1	NECAP1					RPL13A								C11orf35		GLRX5		CDO1		U8|ENSG00000212594.1	SST	SNORD65|ENSG00000212229.1	PRAMEF18					CASP1	MIR4715	CAMP		BTBD3	SPON2	TGM2	C16orf13	PF4V1	TGFBR2	
				ATP1A1					UBE3A	CLEC4E					SYNGR4								EFCAB4A		SCARNA13		CETN3		LINC00485	TFRC	FKBP1C	C1orf158					CASP4	RNA5SP390	CDC25A		PLCB1	TACC3	TNNC2	FAM195A	SNORA3|ENSG00000221639.1	THRB	
				BCL9					MKRN3	TAS2R9					PPP1R15A								ANO9		SNHG10		CHD1		RN7SL793P	THPO	LINC00680	snoU13|ENSG00000238771.1					CASP5	ATP10A	CISH		PRND	MXD4	TOP1	GNPTG	RNU6ATAC5P	TIMP4	
				CAPZA1					HERC2	TAS2R7					PRKD2								B4GALNT4		MIR4506		CSF2		RNA5SP369	TP63	PRIM2	RNU6ATAC18P					CBL	SNORD109B	CCR1		FLRT3	CPLX1	UBE2V1	RHOT2	RNU4ATAC9P	TOP2B	
				CASQ2					FAN1	TAS2R13					CCDC9								PDDC1		SLC24A4		CSNK1G3		snoU13|ENSG00000238940.1	CHRD	RAB23	SNORA59A					CD3D	SNORD115|ENSG00000212428.1	CCR3		LAMP5	SLC26A1	YWHAB	ZNF598	RNA5SP163	UBE2E1	
				CD2					CYFIP1	TAS2R10					FGF21								MRGPRG		NDUFB1		DMXL1		RNA5SP368	EIF2B5	BAG2	SNORA70|ENSG00000252969.1					CD3E	SNORD109A	CCR5		SPEF1	MAN2B2	NCOA3	HN1L	snoU13|ENSG00000238318.1	XPC	
				CD53					FAM189A1	CLEC4A					BBC3								IFITM5		U3|ENSG00000200042.1		EFNA5		RNA5SP367	CLDN1	AIM1	MIR4632					CHEK1	SNORD108	ACKR2		C20orf194	NSG1	MATN4	SPSB3	CSN1S2AP	BRPF1	
				CD58					NPAP1	HEBP1					DKKL1								FAM99A		RN7SL506P		EGR1		snoU13|ENSG00000238800.1	MAP3K13	AMD1	RN7SL649P					CRYAB	SNORD64|ENSG00000270704.2	COL7A1		SDCBP2	STX18	DPM1	RPUSD1	SULT1B1	COLQ	
				CHI3L2					KLF13	DERA					C5AR2								IFITM10		SNORA11B		ETF1		SLC5A8	ADIPOQ	BAI3	C1orf167					DDX10	SNHG14	CYP8B1		TMEM230	FGFRL1	WISP2	TSR3	UGT2A1	EOMES	
				COL11A1					MTMR10	DDX47					DHDH								MIR210		LINC00642		FBN2		snoU13|ENSG00000238748.1	KIAA0226	BCKDHB	DRAXIN					DLAT	SNURF	DAG1		ANGPT4	CYTL1	B4GALT5	WFIKKN1	UGT2A2	CAMK1	
				CSF1					NDNL2	CLEC1B					SLC6A16								MUC5B		RN7SKP255		GDF9		RN7SL176P	ECE2	PRDM1	snoU13|ENSG00000271794.1					DPAGT1	snoU13|ENSG00000238615.1	DNASE1L3		ESF1	SH3TC1	TTI1	NOXO1	UGT2B10	BHLHE40	
				DBT					NIPA2	CLEC1A					STRN4								MIR4298		RN7SKP107		GFRA3		RNA5SP366	ABCC5	DST	TARDBP					DRD2	ACTC1	DOCK3		TRMT6	PIGG	SPATA2	CCDC78	TMPRSS11BNL	KAT2B	
				S1PR1					CHRFAM7A	KLRF1					GLTSCR2								MIR4686		KCNK10		GLRX		SNORA53	TNK2	CCNC	RN7SL614P					ETS1	APBA2	DUSP7		HAO1	BLOC1S4	MAFB	RNF151	FTLP10	SH3BP5	
				CELSR2					ARHGAP11B	WBP11					GLTSCR1										GPR65		HSD17B4		RN7SL179P	ALG3	CGA	DFFA					FDX1	BUB1B	CELSR3		SMOX	STK32B	ACOT8	C16orf11	TMPRSS11GP	SLC4A7	
				EXTL2					TUBGCP5	MANSC1					EHD2										LINC00911		IL3		SLC9A7P1	IGF2BP2	CNR1	RN7SL721P					FLI1	CAPN3	FHIT		CRLS1	LYAR	ATP9A	FBXL16	SNORA62|ENSG00000202374.1	VGLL4	
				FCGR1A					NIPA1	FAM90A1					NOSIP										RNU3P3		IL4		RMST	CLDN16	COL9A1	RN7SL731P					SLC37A4	CHRM5	FLNB		C20orf27	SLC2A9	SGK2	WDR90	GNRHR	EDEM1	
				FMO5					OTUD7A	STYK1					HSD17B14										RNU6ATAC28P		IL5		C12orf63	NCBP2	COL10A1	RN7SKP269					GRIA4	CKMT1B	GNAI2		SPTLC3	TBC1D14	WFDC2	EME2	UBA6	TBC1D5	
				GJA5					GOLGA6L2	GPRC5D					PTOV1										snoU13|ENSG00000238978.1		IL9		C12orf55	MCF2L2	COL12A1	SLC25A33					GRIK4	DUT	XCR1		AP5S1	SORCS2	ARFGEF2	MEIOB	TECRL	TATDN2	
				GJA8					HERC2P3	ATF7IP					TRPM4										SNORA79|ENSG00000221303.1		IL13		RN7SKP11	VPS8	COX7A2	RNA5SP40					GUCY1A2	EPB42	GPX1		TMEM74B	UVSSA	SPINT3	NHLRC4	snoU13|ENSG00000238925.1	SRGAP3	
				GNAT2					GOLGA6L1	H2AFJ					FAM83E										NRXN3		IRF1		ELK3	ACAP2	EEF1A1	GPR157					H2AFX	FBN1	GRM2		SIRPG	ZFYVE28	BLCAP	C16orf91	snoU13|ENSG00000238541.1	IQSEC1	
				GSTM1					GOLGA8G	FOXJ2					RASIP1										RNA5SP388		KCNN2		RN7SL88P	FETUB	EPHA7	SCARNA16|ENSG00000252404.1					HMBS	GABRA5	HYAL1		FERMT1	AFAP1	TOMM34	JMJD8	ADH1A	NR1D2	
				GSTM2					GOLGA8I	LMO3					TMEM160										RN7SL587P		LECT2		SNRPF	DNAJB11	FABP7	RN7SL451P					HSPA8	GABRB3	IMPDH2		KIF16B	TNIP2	SERINC3	PRR25	ADH1C	ARPC4	
				GSTM3					GOLGA8EP	AICDA					PIH1D1										SNORA46|ENSG00000212371.1		LMNB1		PGAM1P5	KLHL24	FOXO3	SNORA77|ENSG00000221083.1					HTR3A	GABRG3	ITIH1		TASP1	HAUS3	UBE2C	PTX4	ADH4	TADA3	
				GSTM4					OR4M2	RIMKLB					C19orf73										FKSG61		LNPEP		KRT19P2	PIGX	FYN	RN7SL729P					IL10RA	GANC	ITIH3		NSFL1C	MFSD7	PTPRT	MIR662	ADH5	ATG7	
				GSTM5					HERC2P9	KIAA1467					PNMAL1										SAMD15		LOX		RN7SL483P	TBCCD1	GABRR1	TNFRSF9					IL18	GATM	ITIH4		GPCPD1	TMEM175	PKIG		ADH6	CHL1	
				HMGCS2					GOLGA8N	CLEC7A					TMEM143										RN7SL137P		SMAD5		RN7SL330P	LEPREL1	GABRR2	snoU13|ENSG00000239166.1					STT3A	GCHFR	LAMB2		CPXM1	ABLIM2	ZHX3		ADH7	CAND2	
				HSD3B1					POTEB2	BCL2L14					SPHK2										TMED8		MAN2A1		RN7SKP263	ABCF3	GJA1	LINC00337					KCNJ1	PDIA3	LTF		OTOR	TMEM128	SLC9A8		AFM	RFTN1	
				HSD3B2					MIR4508	NANOG					MEIS3										SNORA32|ENSG00000201384.1		MCC		RN7SL630P	LSG1	GPR6	RN7SL574P					VWA5A	ITPKA	MAP4		PAK7	ZNF518B	ADNP		AFP	NUP210	
				IGSF3					POTEB	APOLD1					SLC17A7										RN7SL356P		MEF2C		RN7SL737P	PARL	GRIK2	MIR551A					MCAM	IVD	MST1		EBF4	TMEM129	ZMYND8		ALB	PLCL2	
				KCNA2						GSG1					RCN3										RN7SKP17		NEUROG1		UBE2N	YEATS2	HDAC2	MEGF6					KMT2A	LTK	MST1R		TRIB3	MRFAP1	L3MBTL1		AMBN	ANKRD28	
				KCNA3						RERG					PNMAL2										RN7SL747P		PAM		snoU13|ENSG00000239073.1	HRASLS	HSF2	LINC00982					MMP1	MAP1A	MYL3		FASTKD5	TADA2B	PPP1R16B		ANK2	CAPN7	
				KCNA10						CLEC6A					PRR12										TGFB3		PCSK1		SNORD74|ENSG00000201502.1	MAGEF1	HTR1E	TTC34					MMP3	MEIS2	PDHB		ANKEF1	HTRA3	TP53TG5		ANXA3	MKRN2	
				KCNC4						LOH12CR1					PLEKHA4										C14orf1		PGGT1B		snoU13|ENSG00000238361.1	ATP13A3	IMPG1	C1orf222					MMP7	MFAP1	PFKFB4		GFRA4	MRFAP1L1	MOCS3		ANXA5	THUMPD3	
				KCND3						TMEM52B					SCAF1										RNA5SP387		PITX1		snoU13|ENSG00000238865.1	MAP6D1	KPNA5	TMEM240					MMP8	TRPM1	PLXNB1		VPS16	EVC2	SLC35C2		AREG	HACL1	
				MOV10						HIST4H4					TSKS										RNU4ATAC14P		PPIC		BTG1	PIGZ	LAMA4	RN7SL657P					MMP10	OCA2	PRKAR2A		PCED1A	OTOP1	IFT52		ART3	TTLL3	
				NGF						SLC2A14					ELSPBP1										SNORA7|ENSG00000222604.1		RASA1		LUM	B3GNT5	MARCKS	TAS1R3					MMP13	PLCB2	PRKCD		MRPS26	JAKMIP1	OSER1		ATOH1	CNTN6	
				NHLH2						A2ML1					LIN7B										ISCA2		SLC12A2		LINC00615	IQCG	MAN1A1	RNF223					NCAM1	RAD51	PTH1R		DDRGK1	FAM53A	PIGT		BMP3	RBMS3	
				NOTCH2						CLEC12A					HIF3A										MIR4709		SLC22A4		RNA5SP365	ATP13A4	ME1	FAM41C					NFRKB	RYR3	QARS		NDUFAF5	TRMT44	BCAS4		BMPR1B	NKIRAS1	
				NRAS						CLECL1					FKRP										RN7SL530P		SLC22A5		LINC00936	LRCH3	MYO6	FAM87B					NNMT	SCG5	RPL29		ZNF343	ZBTB49	DDX27		CAMK2D	LMCD1	
				OVGP1						CLEC4C					FUZ										LIN52		SNX2		KITLG	CEP19	NT5E	OR4F5					NPAT	SLC12A1	SEMA3F		NRSN2	CCDC96	ZNF334		CASP6	SSUH2	
				PDZK1						TAS2R43					MED25										ENTPD5		SPOCK1		RNA5SP364	LMLN	PGM3	FAM138A					NRGN	SNRPN	SMARCC1		PANK2	BOD1L1	DBNDD2		CCNA2	TRNT1	
				PRKAB2						TAS2R31					CCDC8										snoU13|ENSG00000238330.1		TCF7		MKRN9P	KLHL6	PLN	DDX11L1					OPCML	SPINT1	NEK4		ADAM33	CRIPAK	RNF114		CCNG2	CRBN	
				PSMA5						TAS2R46					ZNF541										ACOT4		NR2F1		SNORA3|ENSG00000221148.1	VWA5B2	POU3F2	ALPL					PAFAH1B2	SRP14	TCTA		SEL1L2	DOK7	SULF2		SCARB2	CCDC174	
				PTGFRN						TAS2R19					CCDC114										C14orf169		TGFBI		MIR4699	TMEM41A	PREP	RERE					POU2AF1	TJP1	TDGF1		FAM110A	RNF212	CTNNBL1		CDS1	GHRL	
				RAP1A						TAS2R50					CGB5										RN7SL586P		UBE2B		MIR618	TMEM44	PKIB	C1QA					PPP2R1B	TP53BP1	TGM4		SLC4A11	NAT8L	EPPIN		CENPC	OXSM	
				SORT1						CD163L1					CGB7										snoU13|ENSG00000238972.1		VDAC1		MIR617	CAMK2N2	REV3L	C1QB					PTS	TYRO3	TKT		MCM8	POLN	RALGAPB		CENPE	ARL8B	
				SARS						CLEC9A					CGB8										SERPINA3		WNT8A		PTPRQ	TM4SF19	ROS1	C1QC					PVRL1	UBE3A	CLEC3B		ZCCHC3	C4orf48	JPH2		CSN1S1	SETD5	
				SLC16A1						C12orf36					GNG8										ACYP1		ST8SIA4		RN7SKP261	RPL39L	SIM1	CA6					RDX	EIF3J	TNNC1		SCRT2	DEFB131	ZNFX1		CSN2	TMEM40	
				STXBP3						CLEC4D					PTH2										AKT1		REEP5		RNA5SP363	FAM131A	SMPD2	CAPZB					SCN2B	SNAP23	UBA7		SLC52A3	MIR572	SLC12A5		CSN3	NGLY1	
				SYCP1						TAS2R42					CGB1										BDKRB1		NME5		PAWR	ZDHHC19	ELOVL4	CASP9					SCN4B	HERC2	USP4		HSPA12B	USP17L24	PREX1		DCK	BRK1	
				TBX15						DPPA3					CGB2										BDKRB2		PDLIM4		RN7SL696P	LRRC15	MAP3K7	RUNX3					SDHD	SLC28A2	UQCRC1		TMC2	USP17L25	NCOA5		DMP1	RAD18	
				TSHB						NANOGNB					LMTK3										CALM1		CDC23		MIR1252	FAM43A	NR2E1	TNFRSF8					ST3GAL4	TGM5	WNT5A		TBC1D20	USP17L26	RPRD1B		DSPP	LRRN1	
				VCAM1						CLEC2A					CPT1C										SERPINA6		P4HA2		snoU13|ENSG00000238769.1	TMEM207	TPBG	CDA					SLN	PPIP5K1	ZNF35		SIRPD	USP17L5	DHX35		EGF	CIDEC	
				CSDE1						CLEC12B					ALDH16A1										FOXN3		ATG12		RN7SKP172	RTP1	TTK	CDK11B					SORL1	AQR	IFRD2		C20orf141	USP17L27	ELMO2		EPHA5	ZFYVE20	
				HIST2H2AC						LINC00937					NTN5										CHGA		NREP		PHLDA1	MB21D2	PTP4A1	CDC42					SRPR	ARHGAP11A	MAPKAPK3		PROKR2	USP17L28	ZNF335		EREG	AZI2	
				HIST2H2BE						ZNF705A					CCDC155										CKB		MYOT		ACACB	XXYLT1	DDO	CD52					ST14	LCMT2	SLMAP		SLX4IP	USP17L29	PCIF1		FABP2	MTMR14	
				HIST2H4A						SMCO3					DACT3										CRIP1		CXCL14		ACADS	CCDC50	SNX3	RCC1					TAGLN	RASGRP1	MANF		C20orf96	USP17L30	CDH22		FGF2	MRPS25	
				ITGA10						PRB2					IGFL2										CRIP2		H2AFY		ALDH2	PYDC2	RNGTT	CLCN6					TECTA	GPR176	ACOX2		MACROD2	PSAPL1	SLC13A3		FGF5	CRELD1	
				CDC14A						MIR614					ZNF114										DIO2		SNCAIP		APAF1	RNF168	CD164	CLCNKA					UPK2	CHP1	BAP1		SRXN1	USP17L10	LPIN3		GC	TMEM43	
				RTCA						SLC15A5					SPACA4										DIO3		TTC37		ARL1	HTR3C	WISP3	CLCNKB					ZBTB16	OIP5	HYAL3		BANF2	USP17L11	GDAP1L1		GK2	ZNF385D	
				PEX11B											PRR24										DLST		PJA2		ASCL1	LIPH	WASF1	CNR2					ZNF202	BAHD1	HYAL2		ISM1	USP17L12	TTPAL		GRID2	HDAC11	
				SLC16A4											TPRX1										DYNC1H1		DDX46		ATP2A2	HTR3D	TBX18	CORT					CUL5	FAN1	BSN		DEFB129	USP17L13	ACTR5		CXCL1	TSEN2	
				CD101											MAMSTR										EIF5		RAD50		ATP2B1	SLC51A	HMGN3	DDOST					BARX2	MAPKBP1	ACKR5		SIRPA	USP17L17	PABPC1L		CXCL2	C3orf20	
				CHD1L											IZUMO1										EML1		KIF20A		SCARB1	FBXO45	FHL5	DFFB					USP2	GOLGA8A	RRP9		STK35	USP17L18	SLC2A10		CXCL3	JAGN1	
				PDE4DIP											IGFL1										ESRRB		POLR3G		CMKLR1	MUC20	ATG5	DVL1					HTR3B	RTF1	CACNA2D2		PRNT	USP17L19	FAM83D		GRSF1	IL17RC	
				LPPR4											IGFL3										FOS		SEC24A		COX6A1	SENP5	ZBTB24	E2F2					ZW10	MGA	IP6K1		C20orf196	USP17L20	CHD6		H2AFZ	EAF1	
				RBM8A											MIR150										GALC		BRD8		CRY1	TCTEX1D2	SNAP91	ECE1					MMP20	VPS39	PARP3		LRRN4	USP17L21	PARD6B		HADH	OXNAD1	
				TSPAN2											IGFL4										GSTZ1		HNRNPA0		CSRP2	SMCO1	FIG4	EPHA2					UBE4A	FAM189A1	ZNF197		SIRPB2	USP17L22	TOX2		HTN1	FANCD2OS	
				BCAS2											MIR769										GTF2A1		KIF3A		DAO	UTS2B	TRDN	ENO1					EI24	SERF2	RBM6		RSPO4	MIR548I2	KIAA1755		HTN3	LRRC3B	
				WARS2											BSPH1										BRF1		RHOBTB3		DCN	HTR3E	SYNCRIP	EPB41					FEZ1	TMEM87A	RBM5		TGM6	MIR378D1	EMILIN3		CFI	GALNT15	
				CEPT1											MIR3191										HSP90AA1		ELL2		EPYC	C3orf70	SLC35A1	EPHA8					ARHGAP32	RPAP1	NME6		DEFB132	MIR4800	SYS1		IGFBP7	KCNH8	
				PIAS3											PPP5D1										IFI27		FSTL4		DTX1	TPRG1	FUT9	EPHB2					RBM7	BLOC1S6	TRAIP		C20orf202	MIR5091	WFDC8		IGJ	CHCHD4	
				VAV3																					ITPK1		SEPT8		DUSP6	RTP2	TRAF3IP2	EXTL1					MPZL2	GREM1	ARIH2		RAD21L1		ZSWIM1		IL8	METTL6	
				LAMTOR5																					JAG2		PPIP5K2		STX2	OSTN	SMPDL3A	EYA3					YAP1	RPUSD2	NPRL2		TMEM239		TP53RK		CXCL10	TAMM41	
				POLR3C																					KLC1		ACSL6		GOLGA3	ATP13A5	PNRC1	FGR					HYOU1	TUBGCP4	CXCR6				DNTTIP1		MANBA	IL17RE	
				TXNIP																					LTBP2		PHF15		GTF2H3	WDR53	ASCC3	MTOR					ATP5L	EHD4	CCR9				VSTM2L		CXCL9	SGOL1	
				AP4B1																					MARK3		KLHL3		HAL	ANKRD18DP	BVES	FUCA1					ADAMTS8	DUOX2	USP19				SNHG11		AFF1	PP2D1	
				PHTF1																					ATXN3		PKD2L2		HPD	NRROS	SEC63	IFI6					TREH	MYEF2	CYB561D2				WFDC12		MTTP	EFHB	
				AHCYL1																					ALDH6A1		AFF4		IGF1	LINC00885	KIAA1009	GABRD					CEP164	NDUFAF1	TMEM115				SPATA25		MUC7	CPNE9	
				ADAM30																					SERPINA5		SLC27A6		LTA4H	C3orf65	ANKRD6	GALE					IGSF9B	NUSAP1	RPP14				OCSTAMP		NFKB1	ZCWPW2	
				CD160																					PGF		SNX24		MMP17	GMNC	RIMS1	GNB1					EXPH5	EMC4	FAM107A				SLC32A1		PDHA2	NEK10	
				DDX20																					SERPINA1		TMED7		MSI1	MIR570	DOPEY1	SFN					PHLDB1	SPTBN5	WDR6				WFDC3		PITX2	FGD5	
				NTNG1																					SERPINA4		ISOC1		MVK	MIR922	ZNF292	GPR3					NCAPD3	CTDSPL2	RASSF1				RIMS4		PKD2	CNTN4	
