cytoband	9p21.3	8p23.2	4q35.2	2q22.1	18q23	11q23.1	7q36.1	19p13.3	1p13.2	13q12.11	5q12.1	9p23	10p11.21	2q36.2	2q21.2	Xq21.33	10q23.31	Xp21.3	13q14.2	3p12.1	17q25.3	4q22.1	1p36.21	16q23.3	21q22.3	11p15.5	7q31.1	5q35.3	6p25.3	9q34.3	14q11.2	16q23.1	9q21.11	14q32.32	3p14.2	1q44	4p15.2	4q21.3	Xp22.2	10p15.3	15q15.1	17p11.2	5q15	19q13.43	12q24.33	3p26.2	3p24.1	4p16.3	
									FAM46C					PDE6D									RERE			EPS8L2					TRAV5			CKB							MIR1268A				RN7SKP263			STX18	
									ST7L					SERPINE2									C1QA			CHID1					TRAV4			CRIP1							OR4N4				RN7SL630P			FGFRL1	
									SLC22A15					PPP1R7									C1QB			OR51G1					TRAV3			CRIP2							snoU13|ENSG00000238960.1				RN7SL737P			CYTL1	
									CTTNBP2NL					PSMD1									C1QC			OR51B4					TRAV2			DIO3							DKFZP547L112				UBE2N			SH3TC1	
									OLFML3					PTMA									CA6			OR51B2					RN7SL650P			DYNC1H1							RN7SL400P				snoU13|ENSG00000239073.1			PIGG	
									DCLRE1B					PTPRN									CAPZB			OR52N1					SNORD8			EIF5							CT60				SNORD74|ENSG00000201502.1			DCAF16	
									VTCN1					SAG									CASP9			SLC25A22					SNORD9			EML1							NBEAP1				snoU13|ENSG00000238361.1			BLOC1S4	
									SIKE1					CCL20									RUNX3			ATHL1					LINC00641			GALC							RN7SL759P				snoU13|ENSG00000238865.1			STK32B	
									TRIM45					SLC4A3									TNFRSF8			OR51G2					RNASE8			BRF1							GOLGA6L6				BTG1			LYAR	
									VANGL1					SLC11A1									CDA			OR51E2					RN7SL189P			HSP90AA1							snoU13|ENSG00000239083.1				LUM			SLC2A9	
									REG4					SP100									CDK11B			PTDSS2					PNP			IFI27							CHEK2P2				LINC00615			TBC1D14	
									POLR3GL					SPP2									CDC42			FAM160A2					RNA5SP382			ITPK1							RN7SL584P				RNA5SP365			SORCS2	
									ZNF697					TNP1									CD52			TRIM5					RPPH1			JAG2							ACTC1				LINC00936			CC2D2A	
									MAB21L3					TNS1									CLCN6			SYT8					SNORD126			KLC1							APBA2				KITLG			UVSSA	
									LIX1L					TUBA4A									CLCNKA			PRKCDBP					SNORA79|ENSG00000222489.1			MARK3							BUB1B				RNA5SP364			ZFYVE28	
									SYT6					WNT6									CLCNKB			OSBPL5					TTC5			ATXN3							CAPN3				MKRN9P			AFAP1	
									HFE2					XRCC5									CNR2			LRRC56					OR11H7			SERPINA5							CHRM5				SNORA3|ENSG00000221148.1			NCAPG	
									ANKRD35					ZNF142									CORT			MRGPRE					RNA5SP381			SERPINA1							CKMT1B				MIR4699			TNIP2	
									NBPF12					SCG2									DDOST			ART5					RNA5SP380			SERPINA4							DUT				MIR618			HAUS3	
									PPIAL4A					CUL3									DFFB			TRIM6					OR4Q2			PPP2R5C							EPB42				MIR617			FGFBP2	
									NBPF11					DGKD									DVL1			OR52E2					snoU13|ENSG00000238492.1			LGMN							FBN1				PTPRQ			MFSD7	
									SPAG17					STK16									E2F2			OR52J3					MED15P6			PSMC1							GABRA5				RN7SKP261			TMEM175	
									HIPK1					PER2									ECE1			OR51L1					LINC00516			MOK							GABRB3				RNA5SP363			ABLIM2	
									MAGI3					CDK5R2									EPHA2			OR51A7					MED15P1			TNFAIP2							GABRG3				PAWR			TMEM128	
									FAM19A3					RQCD1									ENO1			OR51S1					ANG			TRAF3							GALK2				RN7SL696P			ZNF518B	
									NBPF16					LRRFIP1									EPHA8			OR51F2					APEX1			VRK1							GANC				MIR1252			TMEM129	
									ANKRD34A					GPR55									EPHB2			OR52R1					BCL2L2			WARS							GATM				snoU13|ENSG00000238769.1			MRFAP1	
									HIST2H2AB					TRIP12									EXTL1			OR52M1					CEBPE			XRCC3							GCHFR				RN7SKP172			TADA2B	
									PPM1J					ECEL1									MTOR			OR52K2					CMA1			GPR68							PDIA3				PHLDA1			HTRA3	
									C1orf137					EIF4E2									FUCA1			OR52W1					LTB4R			TCL1A							ITPKA				RN7SL734P			C1QTNF7	
									NOTCH2NL					TTLL4									GABRD			OR56A4					CTSG			DLK1							IVD				SNORA70|ENSG00000251893.2			MRFAP1L1	
									NBPF9					HDAC4									GALE			OR56A1					DAD1			MTA1							LTK				GLIPR1			CPEB2	
									HIST2H2BF					FARP2									GNB1			OR52B4					GZMH			RPS6KA5							MAP1A				U8|ENSG00000201809.1			EVC2	
									HIST2H4B					FARSB									SFN			C11orf40					GZMB			TRIP11							MEIS2				RAB21			OTOP1	
									PPIAL4G					ABCB6									GPR3			OR52I2					HNRNPC			BAG5							MFAP1				SNORA17|ENSG00000212461.1			JAKMIP1	
									PPIAL4D					ARPC2									ZBTB48			OR51E1					MMP14			C14orf2							TRPM1				ACACB			FAM53A	
									PPIAL4B					ARL4C									HMGCL			UBQLNL					MYH6			CDC42BPB							NDN				ACADS			TRMT44	
									GPR89A					RAMP1									HSPG2			SCGB1C1					MYH7			TCL1B							OCA2				ALDH2			ZBTB49	
									PPIAL4C					SPEG									HTR1D			C11orf42					NEDD8			TECPR2							PLCB2				APAF1			TAPT1	
									HIST2H3D					NMUR1									HTR6			NLRP6					NFATC4			GOLGA5							RAD51				ARL1			LCORL	
									FAM72B					STK25									ID3			OR56B4					NOVA1			FBLN5							RYR3				ASCL1			CCDC96	
									HIST2H2AA4					CAPN10									STMN1			OR52B2					NRL			SIVA1							SCG5				ATP2A2			BOD1L1	
									FAM72D					SP140									MFAP2			C11orf35					OXA1L			CYP46A1							SLC12A1				ATP2B1			CRIPAK	
									GPR89C					PASK									MTHFR			OR51F1					PCK2			PAPOLA							SNRPN				SCARB1			DOK7	
									NBPF20					ATG4B									NBL1			OR51V1					PSMB5			PTPN21							SPINT1				CMKLR1			RNF212	
									MIR320B1					OBSL1									NPPA			EFCAB4A					PSME1			RCOR1							SRP14				COX6A1			NAT8L	
														DNPEP									NPPB			ANO9					PSME2			PACS2							TJP1				CRY1			POLN	
														SH3BP4									PAFAH2			B4GALNT4					RABGGTA			PPP1R13B							TP53BP1				CSRP2			C4orf48	
														KCNE4									PAX7			OR52L1					RNASE1			DICER1							TYRO3				DAO			DEFB131	
														NGEF									PEX10			OR52B6					RNASE2			FLRT2							UBE3A				DCN			CLRN2	
														PNKD									PEX14			PDDC1					RNASE3			KIF26A							MKRN3				EPYC			MIR572	
														SNED1									PGD			MRGPRG					RNASE4			TMEM251							EIF3J				DTX1			USP17L24	
														GIGYF2									PIK3CD			IFITM5					RNASE6			TCL6							SNAP23				DUSP6			USP17L25	
														TRAF3IP1									PLA2G2A			FAM99A					SALL2			GPR132							HERC2				STX2			USP17L26	
														ABCA12									PLOD1			OR56B1					TEP1			SERPINA10							SLC28A2				GOLGA3			USP17L5	
														CNPPD1									EXOSC10			OR52K1					TGM1			EVL							COPS2				GTF2H3			USP17L27	
														STK36									PRKCZ			OR52I1					AP1G2			GSKIP							TGM5				HAL			USP17L28	
														GMPPA									RAP1GAP			OR51D1					SLC7A7			CINP							PPIP5K1				HPD			USP17L29	
														SMARCAL1									RHCE			OR52A5					CPNE6			ASB2							AQR				IGF1			USP17L30	
														ANO7									RHD			OR51B6					TOX4			CPSF2							SECISBP2L				KCNC2			PSAPL1	
														PRLH									RPL11			OR51M1					REC8			CDCA4							ARHGAP11A				LTA4H			USP17L10	
														THAP4									RPL22			OR51Q1					PARP2			NRDE2							LCMT2				MMP17			USP17L11	
														ANKMY1									RPS6KA1			OR51I1					DHRS2			ATG2B							RASGRP1				MSI1			USP17L12	
														SCLY									RSC1A1			OR51I2					EFS			UBR7							GPR176				MVK			USP17L13	
														ASB1									SCNN1D			OR52D1					IRF9			SMEK1							CHP1				MYBPC1			USP17L17	
														CAB39									SDHB			OR52H1					PRMT5			BTBD7							OIP5				MYF5			USP17L18	
														PRKAG3									SKI			OR52N4					TM9SF1			TDP1							BAHD1				MYF6			USP17L19	
														UGT1A10									SLC2A5			OR52N5					EDDM3A			ZNF839							FAN1				MYL2			USP17L20	
														UGT1A7									SLC9A1			OR52N2					DHRS4			SPATA7							CEP152				PPP1R12A			USP17L21	
														UGT1A6									SRM			OR52E6					RIPK3			KCNK13							MAPKBP1				NAP1L1			USP17L22	
														UGT1A5									TCEA3			OR52E8					SUPT16H			DDX24							GOLGA8A				NFYB			MIR548I2	
														UGT1A9									TCEB3			OR52E4					ACIN1			UNC79							RTF1				NOS1			MIR378D1	
														UGT1A4									TNFRSF1B			OR56A3					KHNYN			BEGAIN							CYFIP1				NTS			MIR4800	
														UGT1A8									TP73			OR51T1					SLC7A8			PPP4R4							MGA				OAS1			MIR5091	
														UGT1A1									TNFRSF4			OR51A4					NGDN			MOAP1							VPS39				OAS2				
														FEV									ZBTB17			OR51A2					LRP10			INF2							FAM189A1				OAS3				
														PID1									SLC30A2			IFITM10					TINF2			BCL11B							EID1				P2RX4				
														ATG16L1									LUZP1			MIR210					OR10G3			OTUB2							NPAP1				P2RX7				
														ANKZF1									PRDM2			MUC5B					OR10G2			ZFYVE21							SERF2				PEBP1				
														USP40									ARID1A			MIR4298					OR4E2			WDR25							TMEM87A				PAH				
														HJURP									NR0B2			MIR4686					CIDEB			LINC00341							RPAP1				CDK17				
														HES6									MMP23B			MIR4687					CHMP4A			CLMN							BLOC1S6				SLC25A3				
														ASIC4									KCNAB2								STXBP6			CATSPERB							GREM1				PLA2G1B				
														DOCK10									FCN3								SLC39A2			ZC3H14							RPUSD2				PMCH				
														PECR									ALDH4A1								EMC9			RIN3							TUBGCP4				POLE				
														C2orf83									EIF4G3								ZNF219			C14orf159							EHD4				PPP1CC				
														MFF									TNFRSF25								GMPR2			TMEM121							DUOX2				PRKAB1				
														ACKR3									TNFRSF14								SLC22A17			AMN							MYEF2				PSMD9				
														MARCH4									TNFRSF18								HAUS4			IFI27L2							NDUFAF1				PTPN11				
														WDFY1									PER3								C14orf119			SETD3							NUSAP1				PXMP2				
														NYAP2									MAP3K6								RNF31			HHIPL1							EMC4				PXN				
														USP37									DHRS3								RBM23			C14orf142							SPTBN5				RFC5				
														CTDSP1									VAMP3								OSGEP			FAM181A							CTDSPL2				RFX4				
														GAL3ST2									H6PD								ARHGEF40			BTBD6							KLF13				RPL6				
														TMBIM1									ISG15								METTL3			EFCAB11							DUOX1				RPLP0				
														RAB17									PLCH2								LTB4R2			EXOC3L4							DLL4				CLIP1				
														RNF25									CROCC								SDR39U1			WDR20							INO80				ATXN2				
														COPS7B									CEP104								RPGRIP1			AHNAK2							PPP1R14D				SELPLG				
														MRPL44									KLHL21								NDRG2			TRMT61A							MTMR10				SFSWAP				
														TRPM8									SLC35E2								NYNRIN			TDRD9							ZNF770				SYT1				
														ATG9A									ZBTB40								HOMEZ			ANKRD9							HAUS2				TBX5				
														MLPH									MFN2								CHD8			AK7							RMDN3				TBX3				
														FAM134A									CELA3A								CCNB1IP1			IFI27L1							DNAJC17				HNF1A				
														GLB1L									WASF2								C14orf93			PLD4							NOP10				TDG				
														CHPF									ANGPTL7								ABHD4			ADSSL1							NDNL2				TSPAN8				
														IQCA1									HNRNPR								EDDM3B			TTC8							EMC7				TMPO				
														NHEJ1									SRRM1								CDH24			TC2N							PAK6				NR2C1				
														FAM124B									CNKSR1								METTL17			SLC25A29							DTWD1				HSP90B1				
														TM4SF20									UBE4B								IL25			GSC							CASC5				TXNRD1				
														C2orf54									MAD2L2								THTPA			SERPINA12							AVEN				UBC				
														TUBA4B									PDPN								OR4K5			PRIMA1							STARD9				UNG				
														ARMC9									NUDC								OR4K1			TTC7B							VPS18				ZNF10				
														EFHD1									MASP2								IPO4			SYNE3							SQRDL				ZNF26				
														SPHKAP									SRSF10								DCAF11			EML5							ZNF106				ZNF84				
														WNT10A									UTS2								OR4K15			NUDT14							SPATA5L1				ALX1				
														SLC19A3									RER1								JPH4			LINC00521							CHAC1				CDK2AP1				
														ILKAP									RCAN3								RNASE7			SERPINA11							KATNBL1				BRAP				
														ITM2C									PADI2								RAB2B			C14orf177							ATP8B4				ULK1				
														RHBDD1									LYPLA2								AJUBA			SLC25A47							WDR76				EEA1				
														ING5									PARK7								ZFHX2			LINC00523							TMEM62				RASAL1				
														PLCD4									CTRC								LRRC16B			CEP170B							SEMA6D				PPFIA2				
														TMEM169									ACOT7								PPP1R3E			C14orf80							SPG11				LGR5				
														DNER									CLSTN1								TMEM55B			CCDC85C							ELL3				MAPKAPK5				
														B3GNT7									SPEN								DHRS1			SERPINA9							NIPA2				DENR				
														SP140L									KDM1A								CMTM5			COX8C							C15orf48				OASL				
														STK11IP									WDTC1								RNASE11			ASPG							C15orf41				DYNLL1				
														MOGAT1									EMC1								TPPP2			SERPINA13P							ZFYVE19				SRSF9				
														AGAP1									KIF1B								MRPL52			C14orf64							FRMD5				GALNT4				
														TWIST2									PLEKHM2								PSMB11			RTL1							DISP2				CRADD				
														DIS3L2									OTUD3								OR4K14			TMEM179							CHRFAM7A				LIN7A				
														NEU4									KAZN								OR4L1			C14orf180							ARHGAP11B				SOCS2				
														AP1S3									CAMTA1								OR11H6			MIR127							DPH6				HCAR3				
														SPATA3									DNAJC16								KLHL33			MIR136							C15orf57				HIP1R				
														TMEM198									UBR4								MDP1			MIR154							KNSTRN				RASSF9				
														ZFAND2B									ATP13A2								FITM1			MIR203							BMF				PIWIL1				
														FBXO36									CELA3B								REM2			CCDC88C							SHF				CABP1				
														MTERFD2									ICMT								NOP9			MIR323A							DUOXA1				NCOR2				
														UBE2F									PADI4								ADCY4			MIR337							CHST14				WSCD2				
														OTOS									TMEM50A								TSSK4			MIR345							CASC4				SART3				
														MYEOV2									CLIC4								DHRS4L2			MIR370							TUBGCP5				KNTC1				
														OR6B3									CHD5								RNASE10			MIR381							TGM7				MLEC				
														CCDC140									SZRD1								OR6S1			MIR431							CATSPER2				GIT2				
														SLC23A3									LDLRAP1								OR4N2			MIR323B							NIPA1				NUAK1				
														GPBAR1									NOC2L								OR4K2			MIR409							PLA2G4E				RBM19				
														SLC16A14									FBXO2								OR4K13			MIR412							TRIM69				RNF10				
														LINC00471									FBXO6								OR4K17			MIR410							C15orf43				NR1H4				
														DAW1									HSPB7								OR4N5			MIR493							TMCO5A				SH2B3				
														C2orf57									ARHGEF16								OR11G2			MIR432							ZSCAN29				ARPC3				
														TIGD1									SSU72								OR11H4			MIR494							TTBK2				PLXNC1				
														CCDC108									UBIAD1								RNASE9			MIR495							CDAN1				MPHOSPH9				
														C2orf72									PADI1								OR5AU1			MIR496							STRC				CAMKK2				
														RUFY4									WRAP73								POTEG			MIR487A							OTUD7A				ZNF268				
														DUSP28									SLC45A1								OR11H12			RD3L							SPRED1				TRAFD1				
														MROH2A									HP1BP3								RNASE13			TEX22							PGBD4				TMED2				
														ESPNL									CELA2B								OR4Q3			MIR539							ADAL				ERP29				
														C2orf62									SDF4								OR4M1			MIR544A							EXD1				CKAP4				
														AQP12A									MRTO4								RNASE12			MIR487B							FSIP1				GCN1L1				
														KLHL30									PADI3								POTEM			MIR411							RHOV				METAP2				
														RESP18									ERRFI1								TMEM253			MIR654							FAM227B				SDS				
														C2orf82									WNT4								CBLN3			MIR655							UBR1				RAB35				
														OR6B2									FBXO42								MIR4307			MIR656							PATL2				KERA				
														ASB18									RNF186								MIR4707			MIR758							LPCAT4				KRR1				
														MIR375									MXRA8											MIR770							PLA2G4F				PRDM4				
														PRR21									HES2											MIR300							LRRC57				CIT				
														PRSS56									FBLIM1											MIR541							NUTM1				PWP1				
														AQP12B									PQLC2											MIR665							SLC24A5				NUDT4				
														D2HGDH									CASZ1											MIR543							GOLGA6L2				FZD10				
														MIR1471									CPSF3L											MIR889							PLA2G4D				RPH3A				
														MIR4268									C1orf159											DIO3OS							HERC2P3				P2RX2				
														MIR3132									AURKAIP1											MIR1197							GOLGA6L1				FBXO21				
														MIR4269									MRPL20											MIR1193							GOLGA8G				SETD1B				
														MIR4786									TMEM51											MIR4309							GOLGA8I				UHRF1BP1L				
														MIR5001									ARHGEF10L											MIR3173							FMN1				ANKLE2				
														MIR5702									VPS13D											MIR151B							C15orf52				CUX2				
														MIR5703									ATAD3A											MIR4710							GOLGA8EP				KIAA1033				
																							TMEM57											MIR2392							OR4M2				MED13L				
																							PANK4																		SHC4				ZDHHC17				
																							CAMK2N1																		CTXN2				SIRT4				
																							ASAP3																		C15orf53				ABCB9				
																							PNRC2																		C15orf54				ISCU				
																							PIGV																		DUOXA2				RIMBP2				
																							NBPF1																		HERC2P9				ATP6V0A2				
																							NECAP2																		GOLGA8B				CORO1C				
																							DNAJC11																		EIF2AK4				MGAT4C				
																							RCC2																		CKMT1A				FBXW8				
																							AJAP1																		SERINC4				HSPB8				
																							MTFR1L																		C15orf62				UTP20				
																							CTNNBIP1																		GOLGA8N				MRPL42				
																							C1orf63																		C15orf56				IFT81				
																							AGTRAP																		PHGR1				CCDC59				
																							PITHD1																		MIR147B				FAM216A				
																							NIPAL3																		ANKRD63				TRHDE				
																							SEPN1																		JMJD7				SYCP3				
																							PLEKHG5																		PLA2G4B				CHST11				
																							LRRC47																		POTEB2				GALNT9				
																							PTCHD2																		MIR1282				CCDC53				
																							KIF17																		MIR4508				CCDC41				
																							HES4																		MIR4510				GPN3				
																							GRHL3																		MIR4716				GLTP				
																							IL22RA1																		POTEB				ARL6IP4				
																							MIIP																						TAOK3				
																							CELA2A																						POP5				
																							GPATCH3																						ANAPC5				
																							PRDM16																						ANAPC7				
																							PLA2G2F																						TRIAP1				
																							CEP85																						NT5DC3				
																							NMNAT1																						VPS29				
																							VWA1																						TPCN1				
																							PINK1																						SSH1				
																							PRAMEF1																						RHOF				
																							PRAMEF2																						VSIG10				
																							NADK																						TESC				
																							AUNIP																						PARPBP				
																							EFHD2																						SLC6A15				
																							MMEL1																						RIC8B				
																							RSG1																						APPL2				
																							MUL1																						SBNO1				
																							NOL9																						TMEM19				
																							LIN28A																						DRAM1				
																							LINC00115																						SVOP				
																							MORN1																						STAB2				
																							FAM110D																						VEZT				
																							DHDDS																						GOLGA2B				
																							SPSB1																						SCYL2				
																							GLTPD1																						POLR3B				
																							ZNF436																						CHFR				
																							TAS1R2																						FGD6				
																							TAS1R1																						WSB2				
																							OR4F16																						NDUFA12				
																							ACTL8																						DIABLO				
																							CCNL2																						ANKS1B				
																							ESPN																						CHPT1				
																							ATAD3B																						TMCC3				
																							TMEM222																						PITPNM2				
																							PLEKHN1																						EP400				
																							USP48																						DHX37				
																							NBPF3																						FBRSL1				
																							LZIC																						DDX55				
																							TRIM63																						NTN4				
																							C1orf170																						TRPV4				
																							SYTL1																						SUDS3				
																							IGSF21																						ACTR6				
																							KIAA2013																						TBC1D15				
																							THAP3																						C12orf43				
																							STPG1																						VPS33A				
																							UBXN11																						RSRC2				
																							FBXO44																						AACS				
																							FHAD1																						NUP37				
																							FAM46B																						DDX54				
																							RBP7																						NOC4L				
																							ACAP3																						GNPTAB				
																							UBE2J2																						B3GNT4				
																							C1orf172																						TCTN1				
																							LRRC38																						ACSS3				
																							AADACL3																						OGFOD2				
																							PUSL1																						VPS37B				
																							B3GALT6																						BBS10				
																							IFFO2																						C12orf49				
																							TPRG1L																						TCTN2				
																							FAM213B																						NAA25				
																							MYOM3																						SLC24A6				
																							KLHDC7A																						CEP290				
																							VWA5B1																						RNF34				
																							ARHGEF19																						CCDC92				
																							ACTRT2																						MTERFD3				
																							MIB2																						PUS1				
																							C1orf127																						ACAD10				
																							SAMD11																						GLT8D2				
																							PHF13																						THAP2				
																							CCDC27																						KCTD10				
																							C1orf213																						USP44				
																							PDIK1L																						SLC41A2				
																							SLC2A7																						LRRIQ1				
																							CALML6																						METTL25				
																							IFNLR1																						TCHP				
																							FAM43B																						COQ5				
																							PAQR7																						HVCN1				
																							TMEM201																						SRRM4				
																							C1orf86																						CCDC62				
																							ATAD3C																						KDM2B				
																							AKR7L																						CAPS2				
																							TTLL10																						UNC119B				
																							TMCO4																						USP30				
																							ZNF683																						RNFT2				
																							MDS2																						FAM222A				
																							NPHP4																						C12orf52				
																							SLC25A34																						ANKRD13A				
																							C1orf174																						NAV3				
																							KLHL17																						TMEM116				
																							TMEM52																						UBE3B				
																							AADACL4																						C12orf23				
																							PRAMEF5																						C12orf29				
																							HNRNPCL1																						C12orf65				
																							PRAMEF9																						CCDC64				
																							PRAMEF10																						SDSL				
																							FAM131C																						OSBPL8				
																							SPATA21																						IQCD				
																							AGRN																						DEPDC4				
																							CATSPER4																						CCDC38				
																							GPR153																						TMEM132D				
																							FAM132A																						SLC15A4				
																							HES5																						TPH2				
																							SMIM1																						NEDD1				
																							RNF207																						IKBIP				
																							TMEM82																						ASCL4				
																							TRNP1																						BTBD11				
																							CD164L2																						SPIC				
																							HES3																						ANO4				
																							PRAMEF12																						ALKBH2				
																							PRAMEF21																						FOXN4				
																							PRAMEF8																						SPPL3				
																							PRAMEF17																						AMDHD1				
																							PRAMEF4																						GLIPR1L2				
																							PRAMEF13																						FAM101A				
																							SH2D5																						ZNF664				
																							NCMAP																						TMEM120B				
																							PRAMEF3																						WDR66				
																							LDLRAD2																						GLT1D1				
																							MIR200A																						TSPAN19				
																							MIR200B																						E2F7				
																							MIR34A																						RAD9B				
																							PRAMEF11																						FAM109A				
																							PRAMEF6																						TMTC2				
																							MINOS1																						TMTC3				
																							ANKRD65																						C12orf50				
																							PRAMEF7																						ALDH1L2				
																							MIR429																						CCDC63				
																							TMEM88B																						CCDC60				
																							C1orf233																						PGAM5				
																							C1orf200																						RILPL2				
																							PRAMEF19																						DNAH10				
																							PRAMEF20																						ZFC3H1				
																							LACTBL1																						PLBD2				
																							PRAMEF22																						FAM71C				
																							PRAMEF15																						CCER1				
																							PRAMEF16																						SLC17A8				
																							CDK11A																						LRRC43				
																							SLC35E2B																						TCP11L2				
																							C1orf234																						C12orf79				
																							OR4F29																						GLIPR1L1				
																							MIR4253																						POC1B				
																							MIR1273D																						OTOGL				
																							MIR4252																						GPR133				
																							MIR3917																						MORN3				
																							MIR3675																						GAS2L3				
																							APITD1																						MYO1H				
																							MIR4419A																						HECTD4				
																							MIR4425																						KSR2				
																							MIR4689																						DDX51				
																							MIR4418																						MMAB				
																							MIR4417																						HCAR2				
																							MIR378F																						TMEM119				
																							MIR5697																						C12orf74				
																																													EP400NL				
																																													RILPL1				
																																													C12orf42				
																																													IL31				
																																													C12orf75				
																																													CCDC42B				
																																													TMEM233				
																																													SETD8				
																																													C12orf76				
																																													MIR135A2				
																																													PLEKHG7				
																																													MIR331				
																																													EID3				
																																													ATXN7L3B				
																																													CLLU1OS				
																																													CLLU1				
																																													MIR492				
																																													C12orf73				
																																													ZNF605				
																																													MIR1251				
																																													MIR4303				
																																													MIR3685				
																																													MIR3908				
																																													MIR4495				
																																													MIR4419B				
																																													MIR4700				
																																													MIR4497				
																																													MIR5188				
																																													MIR5700				
